resource_type,metric,count,mean,median,p10,p90
数据产品,view_score,4623,0.5561521666906243,0.548327916972429,0.1641681517978823,0.9438934898836356
数据产品,download_score,4623,0.6637597619726452,0.6968235664115735,0.2124960687703113,0.9494391445644197
数据产品,api_call_score,4623,0.43577075356500083,0.4237341440402558,0.4237341440402558,0.4237341440402558
数据产品,ActualUse_type_percentile,4623,0.5,0.5001081782778019,0.0999567286888792,0.9
数据产品,ActualUse_global_percentile,4623,0.5017877925332067,0.5636335045602264,0.0484327497641262,0.8713491980291436
数据产品,ActualUse_equal_type_percentile,4623,0.5,0.5001081782778019,0.1006057983556901,0.9
数据产品,ActualUse_depth_type_percentile,4623,0.5,0.5,0.0999567286888792,0.9
数据接口,view_score,4917,0.4472053149052765,0.4843274976412622,0.0673026522696299,0.7979347940035643
数据接口,download_score,4917,0.3460318528371896,0.2124960687703113,0.2124960687703113,0.7120243212076738
数据接口,api_call_score,4917,0.560388815592638,0.4237341440402558,0.4237341440402558,0.9424467973582136
数据接口,ActualUse_type_percentile,4917,0.5,0.5007119609438568,0.1057770545158665,0.9000000000000001
数据接口,ActualUse_global_percentile,4917,0.4983191041527324,0.4792431072439459,0.1412097704161861,0.9461578781842961
数据接口,ActualUse_equal_type_percentile,4917,0.5,0.5007119609438568,0.1057770545158665,0.900020341741253
数据接口,ActualUse_depth_type_percentile,4917,0.5,0.5007119609438568,0.1057770545158665,0.899938974776241
