checked_at,rows_checked,missing_download_formats,missing_field_names,zero_field_count,mojibake_rows,traditional_residue_rows,noise_field_rows,suspicious_field_rows
2026-04-28T17:55:24,10,0,0,0,0,1,0,
2026-04-28T17:58:37,10,0,0,0,0,0,0,
2026-04-28T19:48:27,500,0,1,1,0,0,0,
2026-04-28T19:54:16,500,0,13,13,0,0,0,0.0
2026-04-28T21:56:01,500,2,162,162,0,0,0,0.0
2026-04-29T00:15:22,500,3,350,350,0,0,0,0.0
2026-04-29T02:42:13,500,1,276,276,0,0,0,0.0
2026-04-29T05:20:11,500,2,451,451,0,0,0,0.0
2026-04-29T08:09:12,500,3,452,452,0,0,0,0.0
2026-04-29T11:08:35,500,3,467,467,0,0,0,0.0
2026-04-29T13:00:20,500,0,496,496,0,0,0,0.0
2026-04-29T19:01:14,500,0,0,0,0,0,0,0.0
2026-04-29T20:28:51,100,0,1,1,0,0,0,0.0
2026-04-30T00:14:27,500,2,9,9,0,0,0,0.0
2026-04-30T03:28:35,500,0,2,2,0,0,0,0.0
2026-04-30T06:58:22,500,2,3,3,0,0,0,0.0
2026-04-30T10:38:51,500,1,16,16,0,0,0,0.0
2026-04-30T14:24:51,500,13,21,21,0,0,0,0.0
2026-04-30T18:34:51,500,8,47,47,0,0,0,0.0
2026-04-30T22:40:32,500,22,49,49,0,0,0,0.0
2026-05-01T04:26:23,500,196,218,218,0,0,0,0.0
2026-05-01T10:24:41,500,180,231,231,0,0,0,0.0
2026-05-01T15:29:27,500,5,9,9,0,0,0,0.0
2026-05-01T16:47:15,500,8,22,22,0,0,0,0.0
2026-05-01T18:02:02,500,1,5,5,0,0,0,0.0
2026-05-01T19:22:11,500,17,53,53,0,0,0,0.0
2026-05-01T19:24:32,136,12,21,21,0,0,0,0.0
2026-05-01T19:25:14,126,12,18,18,0,0,0,0.0
