数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O2813839472025061,金山区博物馆活动表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.0324450772986167,0.947373938567984,0.9149288612693672,0.3363035957647552,0.3038585184661385,0.4916666666666666,0.5315800330033004,0.3763571129919014,1.0,0.9652987421383648,0.7749999999999999,0.8179524354786482,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025061&&companyFlag=0
O2813839472025069,金山区博物馆活动场次表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.0324450772986167,0.9445434531921584,0.9120983758935416,0.3760352238180103,0.3435901465193936,0.4916666666666666,0.5662747524752475,0.3130972045672973,1.0,0.9652987421383648,0.7749999999999999,0.8265184864647392,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025069&&companyFlag=0
O2813841502026180,徐汇区智慧健康驿站地址分布管理数据汇总,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.0022717438338381,0.8672816857112905,0.8650099418774523,0.2565258412831533,0.2542540974493152,0.8791666666666665,0.7904496699669966,0.1484190947978494,1.0,0.5732971698113208,0.675,0.5025,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026180&&companyFlag=0
O6774177612025002,公开募捐资格认定,民生服务,上海市民政局,数据接口,无条件开放,每年,0.0587876322213181,0.8875144145088584,0.8287267822875403,0.3109340601740224,0.2521464279527043,0.7124999999999999,0.506559405940594,0.6708041807988451,1.0,0.6149842767295598,0.485,0.791863773801906,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O6774177612025002&&companyFlag=0
O2813839472025067,金山区博物馆巡检地面文物记录表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.1434092758340114,0.9682356641157354,0.8248263882817239,0.3764545549847992,0.2330452791507878,0.5333333333333333,0.6502681518151816,0.3197622765272817,1.0,0.9652987421383648,0.7749999999999999,0.803099458001866,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025067&&companyFlag=0
O2813839472025072,金山区博物馆地面文物巡查登记表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.0890968266883645,0.9081664744732152,0.8190696477848507,0.3749868959010378,0.2858900692126733,0.4916666666666666,0.6044760726072608,0.3463751722703672,1.0,0.9652987421383648,0.575,0.6191226335199949,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025072&&companyFlag=0
O2813839472026010,金山区“宝宝屋”情况表,民生服务,上海市金山区人民政府,数据产品,无条件开放,不定期更新,0.1589138900908697,0.9168675961840864,0.7579537060932167,0.2927979872103994,0.1338840971195297,0.7958333333333333,0.5808787128712871,0.3203210860327059,1.0,0.472940251572327,0.975,0.7751598659416539,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026010&&companyFlag=0
O2813839472025060,金山区博物馆文物展览表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.0121033360455655,0.760037739805011,0.7479344037594455,0.3341021071391131,0.3219987710935476,0.5333333333333333,0.5912747524752475,0.4547049355054137,0.42,0.9652987421383648,0.975,0.773634595396312,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025060&&companyFlag=0
O2813839472025073,金山区公共文化资源表,文化休闲,上海市金山区人民政府,数据接口,无条件开放,每天,0.2303702196908055,0.972009644616836,0.7416394249260306,0.3223608344690219,0.0919906147782164,0.4916666666666666,0.5627887788778878,0.4633905716845528,1.0,0.9652987421383648,0.7749999999999999,0.8403764427211863,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839472025073&&companyFlag=0
14241,浦东新区林长制工作,机构团体,上海市浦东新区人民政府,数据产品,有条件开放,每年,0.0817827780181739,0.8133976307789076,0.7316148527607337,0.1722402767585701,0.0904574987403962,0.4541666666666667,0.5107879537953796,0.4491947795890549,1.0,0.3981603773584906,0.975,0.5717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14241&&companyFlag=0
14448,闵行区吴泾镇集体资产监管权限级别信息,机构团体,上海市闵行区人民政府,数据接口,无条件开放,每天,0.2676973148901546,0.9903553831638536,0.722658068273699,0.3789705419855331,0.1112732270953785,0.5791666666666667,0.7592409240924092,0.4336317761951289,1.0,0.9652987421383648,0.7749999999999999,0.805310256037321,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=14448&&companyFlag=0
O1928138412025030,徐汇区田林街道社区党建服务中心,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.174167027260926,0.8904497326763812,0.7162827054154551,0.3286508019708565,0.1544837747099305,0.8791666666666665,0.7938325082508251,0.2414209739419754,1.0,0.4113679245283019,0.7749999999999999,0.6530751181314588,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138412025030&&companyFlag=0
