layer_col,group_col,group_value,count,share_in_layer
rule_dormant_candidate,数据领域,民生服务,343,0.30873087308730873
rule_dormant_candidate,数据领域,公共安全,173,0.1557155715571557
rule_dormant_candidate,数据领域,经济建设,156,0.1404140414041404
rule_dormant_candidate,数据领域,城市建设,126,0.11341134113411341
rule_dormant_candidate,数据领域,卫生健康,99,0.0891089108910891
rule_dormant_candidate,数据领域,文化休闲,42,0.037803780378037805
rule_dormant_candidate,数据领域,教育科技,41,0.0369036903690369
rule_dormant_candidate,数据领域,资源环境,40,0.036003600360036005
rule_dormant_candidate,数据领域,机构团体,39,0.0351035103510351
rule_dormant_candidate,数据领域,社会发展,15,0.013501350135013501
rule_dormant_candidate,数据领域,社保就业,13,0.011701170117011701
rule_dormant_candidate,数据领域,道路交通,13,0.011701170117011701
rule_dormant_candidate,数据领域,农业农村,4,0.0036003600360036
rule_dormant_candidate,数据领域,气象服务,4,0.0036003600360036
rule_dormant_candidate,数据领域,工业制造,1,0.0009000900090009
rule_dormant_candidate,数据领域,绿色低碳,1,0.0009000900090009
rule_dormant_candidate,数据领域,信用服务,1,0.0009000900090009
rule_dormant_candidate,数据资源类型,数据产品,811,0.72997299729973
rule_dormant_candidate,数据资源类型,数据接口,300,0.27002700270027
rule_dormant_candidate,开放属性,有条件开放,587,0.5283528352835284
rule_dormant_candidate,开放属性,无条件开放,524,0.47164716471647167
rule_dormant_candidate,更新频率,每年,670,0.603060306030603
rule_dormant_candidate,更新频率,不定期更新,189,0.1701170117011701
rule_dormant_candidate,更新频率,每天,155,0.1395139513951395
rule_dormant_candidate,更新频率,每月,68,0.0612061206120612
rule_dormant_candidate,更新频率,静态数据,22,0.019801980198019802
rule_dormant_candidate,更新频率,每季度,6,0.0054005400540054005
rule_dormant_candidate,更新频率,每半年,1,0.0009000900090009
rule_candidate_model_enhanced_top20,数据领域,民生服务,64,0.28699551569506726
rule_candidate_model_enhanced_top20,数据领域,城市建设,32,0.14349775784753363
rule_candidate_model_enhanced_top20,数据领域,经济建设,31,0.13901345291479822
rule_candidate_model_enhanced_top20,数据领域,卫生健康,26,0.11659192825112108
rule_candidate_model_enhanced_top20,数据领域,资源环境,15,0.06726457399103139
rule_candidate_model_enhanced_top20,数据领域,文化休闲,14,0.06278026905829596
rule_candidate_model_enhanced_top20,数据领域,机构团体,11,0.04932735426008968
rule_candidate_model_enhanced_top20,数据领域,公共安全,8,0.03587443946188341
rule_candidate_model_enhanced_top20,数据领域,教育科技,7,0.03139013452914798
rule_candidate_model_enhanced_top20,数据领域,道路交通,5,0.02242152466367713
rule_candidate_model_enhanced_top20,数据领域,社会发展,5,0.02242152466367713
rule_candidate_model_enhanced_top20,数据领域,社保就业,2,0.008968609865470852
rule_candidate_model_enhanced_top20,数据领域,工业制造,1,0.004484304932735426
rule_candidate_model_enhanced_top20,数据领域,农业农村,1,0.004484304932735426
rule_candidate_model_enhanced_top20,数据领域,气象服务,1,0.004484304932735426
rule_candidate_model_enhanced_top20,数据资源类型,数据接口,128,0.5739910313901345
rule_candidate_model_enhanced_top20,数据资源类型,数据产品,95,0.4260089686098655
rule_candidate_model_enhanced_top20,开放属性,无条件开放,141,0.6322869955156951
rule_candidate_model_enhanced_top20,开放属性,有条件开放,82,0.36771300448430494
rule_candidate_model_enhanced_top20,更新频率,每天,81,0.3632286995515695
rule_candidate_model_enhanced_top20,更新频率,每年,64,0.28699551569506726
rule_candidate_model_enhanced_top20,更新频率,不定期更新,48,0.21524663677130046
rule_candidate_model_enhanced_top20,更新频率,每月,19,0.08520179372197309
rule_candidate_model_enhanced_top20,更新频率,静态数据,7,0.03139013452914798
rule_candidate_model_enhanced_top20,更新频率,每季度,4,0.017937219730941704
strict_model_residual_candidate,数据领域,资源环境,1,1.0
strict_model_residual_candidate,数据资源类型,数据产品,1,1.0
strict_model_residual_candidate,开放属性,有条件开放,1,1.0
strict_model_residual_candidate,更新频率,每月,1,1.0
residual_top10_lowuse_candidate,数据领域,民生服务,165,0.28109028960817717
residual_top10_lowuse_candidate,数据领域,经济建设,79,0.13458262350936967
residual_top10_lowuse_candidate,数据领域,城市建设,73,0.12436115843270869
residual_top10_lowuse_candidate,数据领域,文化休闲,50,0.08517887563884156
residual_top10_lowuse_candidate,数据领域,卫生健康,44,0.07495741056218058
residual_top10_lowuse_candidate,数据领域,机构团体,37,0.06303236797274275
residual_top10_lowuse_candidate,数据领域,教育科技,36,0.06132879045996593
residual_top10_lowuse_candidate,数据领域,资源环境,34,0.05792163543441227
residual_top10_lowuse_candidate,数据领域,社会发展,24,0.04088586030664395
residual_top10_lowuse_candidate,数据领域,公共安全,14,0.02385008517887564
residual_top10_lowuse_candidate,数据领域,道路交通,13,0.022146507666098807
residual_top10_lowuse_candidate,数据领域,社保就业,6,0.010221465076660987
residual_top10_lowuse_candidate,数据领域,信用服务,4,0.0068143100511073255
residual_top10_lowuse_candidate,数据领域,工业制造,4,0.0068143100511073255
residual_top10_lowuse_candidate,数据领域,农业农村,3,0.005110732538330494
residual_top10_lowuse_candidate,数据领域,气象服务,1,0.0017035775127768314
residual_top10_lowuse_candidate,数据资源类型,数据接口,401,0.6831345826235093
residual_top10_lowuse_candidate,数据资源类型,数据产品,186,0.31686541737649065
residual_top10_lowuse_candidate,开放属性,无条件开放,296,0.504258943781942
residual_top10_lowuse_candidate,开放属性,有条件开放,291,0.4957410562180579
residual_top10_lowuse_candidate,更新频率,每年,185,0.3151618398637138
residual_top10_lowuse_candidate,更新频率,每天,162,0.27597955706984667
residual_top10_lowuse_candidate,更新频率,不定期更新,139,0.23679727427597955
residual_top10_lowuse_candidate,更新频率,每月,68,0.11584327086882454
residual_top10_lowuse_candidate,更新频率,静态数据,19,0.03236797274275979
residual_top10_lowuse_candidate,更新频率,每季度,7,0.01192504258943782
residual_top10_lowuse_candidate,更新频率,每半年,5,0.008517887563884156
residual_top10_lowuse_candidate,更新频率,每周,2,0.0034071550255536627
multi_model_strict_residual_any,数据领域,民生服务,2,0.4
multi_model_strict_residual_any,数据领域,文化休闲,1,0.2
multi_model_strict_residual_any,数据领域,公共安全,1,0.2
multi_model_strict_residual_any,数据领域,资源环境,1,0.2
multi_model_strict_residual_any,数据资源类型,数据产品,4,0.8
multi_model_strict_residual_any,数据资源类型,数据接口,1,0.2
multi_model_strict_residual_any,开放属性,有条件开放,3,0.6
multi_model_strict_residual_any,开放属性,无条件开放,2,0.4
multi_model_strict_residual_any,更新频率,每月,2,0.4
multi_model_strict_residual_any,更新频率,静态数据,1,0.2
multi_model_strict_residual_any,更新频率,不定期更新,1,0.2
multi_model_strict_residual_any,更新频率,每天,1,0.2
multi_model_strict_residual_2plus,数据领域,民生服务,1,0.25
multi_model_strict_residual_2plus,数据领域,文化休闲,1,0.25
multi_model_strict_residual_2plus,数据领域,公共安全,1,0.25
multi_model_strict_residual_2plus,数据领域,资源环境,1,0.25
multi_model_strict_residual_2plus,数据资源类型,数据产品,3,0.75
multi_model_strict_residual_2plus,数据资源类型,数据接口,1,0.25
multi_model_strict_residual_2plus,开放属性,有条件开放,3,0.75
multi_model_strict_residual_2plus,开放属性,无条件开放,1,0.25
multi_model_strict_residual_2plus,更新频率,每月,2,0.5
multi_model_strict_residual_2plus,更新频率,不定期更新,1,0.25
multi_model_strict_residual_2plus,更新频率,每天,1,0.25
multi_model_strict_residual_3plus,数据领域,民生服务,1,0.25
multi_model_strict_residual_3plus,数据领域,文化休闲,1,0.25
multi_model_strict_residual_3plus,数据领域,公共安全,1,0.25
multi_model_strict_residual_3plus,数据领域,资源环境,1,0.25
multi_model_strict_residual_3plus,数据资源类型,数据产品,3,0.75
multi_model_strict_residual_3plus,数据资源类型,数据接口,1,0.25
multi_model_strict_residual_3plus,开放属性,有条件开放,3,0.75
multi_model_strict_residual_3plus,开放属性,无条件开放,1,0.25
multi_model_strict_residual_3plus,更新频率,每月,2,0.5
multi_model_strict_residual_3plus,更新频率,不定期更新,1,0.25
multi_model_strict_residual_3plus,更新频率,每天,1,0.25
