数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O2813841502025060,徐汇区化学原料和化学制品制造业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0205538727823453,0.9931858685396792,0.9726319957573338,0.0258936995492189,0.0053398267668736,0.8500000000000001,0.90625,0.5577720779859155,1.0,0.4652987421383648,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025060&&companyFlag=0
O2813841502026103,徐汇区_安全隐患监管一体机_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0075724794461272,0.9800817695775238,0.9725092901313964,0.0015724918754586,-0.0059999875706685,0.925,0.9375,0.4913793985753898,1.0,0.5376367924528302,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026103&&companyFlag=0
O2813841502025068,徐汇区建筑装饰、装修和其他建筑业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0240155776720034,0.9958066883321104,0.9717911106601068,0.0288290177167417,0.0048134400447383,0.8500000000000001,0.9166666666666666,0.6392287284373304,1.0,0.4652987421383648,0.975,0.7752000098904401,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025068&&companyFlag=0
O2813841502026058,徐汇区华泾镇_消火栓按钮传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.9717999790334416,0.9695282351996034,0.0023063214173393,3.4577583501243896e-05,0.8833333333333334,0.9333333333333332,0.4789229823059511,1.0,0.5019764150943397,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026058&&companyFlag=0
O2813841502025071,徐汇区机动车、电子产品和日用产品修理业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0276936391172652,0.99695984904078,0.9692662099235146,0.031974001467659,0.0042803623503938,0.8500000000000001,0.9479166666666666,0.6162874546090076,1.0,0.4652987421383648,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025071&&companyFlag=0
O2813841502026052,徐汇区斜土街道_火灾烟雾探测传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.9703323199496804,0.968060576115842,0.0058182199391969,0.0035464761053588,0.8416666666666667,0.9291666666666666,0.4984383890079324,1.0,0.5019764150943397,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026052&&companyFlag=0
O2813841502026030,徐汇区康健街道_火灾烟雾探测传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.9695984904077996,0.9673267465739612,0.0058182199391969,0.0035464761053588,0.8416666666666667,0.9291666666666666,0.4979094934647418,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026030&&companyFlag=0
O2813841502026034,徐汇区枫林街道_火灾烟雾探测传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.969283992032708,0.9670122481988696,0.0050319740014676,0.0027602301676295,0.8416666666666667,0.9291666666666666,0.4946064614553884,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026034&&companyFlag=0
O2813841502026032,徐汇区华泾镇_火灾烟雾探测传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0075724794461272,0.97452563161757,0.9669531521714428,0.0025159870007338,-0.0050564924453933,0.8833333333333334,0.94375,0.4965400756152587,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026032&&companyFlag=0
O2813841502026051,徐汇区天平街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.9687598280742216,0.9664880842403832,0.0037739805011007,0.0015022366672626,0.8416666666666667,0.95,0.4591925075729827,1.0,0.5019764150943397,0.675,0.795864718816109,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026051&&companyFlag=0
O2813841502025072,徐汇区橡胶和塑料制品业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0240155776720034,0.9902505503721564,0.9662349727001528,0.0244260404654575,0.0004104627934541,0.8500000000000001,0.8645833333333334,0.5551773173013995,1.0,0.4652987421383648,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025072&&companyFlag=0
O2813841502026043,徐汇区华泾镇_门体状态探测传感器(gsm版)_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0123323236694071,0.9778802809518816,0.9655479572824746,0.0009434951252751,-0.0113888285441319,0.8833333333333334,0.975,0.4908135811017752,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026043&&companyFlag=0
O2813841502026046,徐汇区斜土街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0075724794461272,0.9719048118251388,0.9643323323790116,0.0261033651326134,0.0185308856864862,0.8416666666666667,0.95,0.4868979161098946,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026046&&companyFlag=0
O2813841502026062,徐汇区华泾镇_感温探测器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.9661390082817906,0.9638672644479525,0.0059754691267428,0.0037037252929047,0.8833333333333334,0.9020833333333332,0.4767148939883464,1.0,0.5019764150943397,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026062&&companyFlag=0
O2813841502025067,徐汇区废弃资源综合利用业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0276936391172652,0.991403711080826,0.9637100719635608,0.0245308732571548,-0.0031627658601103,0.8500000000000001,0.875,0.5523808992047482,1.0,0.4663993710691824,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025067&&companyFlag=0
O2813841502026139,徐汇区_门体状态探测传感器_物联设备信息,民生服务,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0163349199480744,0.9798721039941294,0.9635371840460548,0.0164587482964671,0.0001238283483927,0.8791666666666665,0.8875,0.572344177731209,1.0,0.5445707547169811,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026139&&companyFlag=0
O2813841502025070,徐汇区文教、工美、体育和娱乐用品制造业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0323453050627434,0.9949680259985324,0.9626227209357888,0.0305063423838976,-0.0018389626788457,0.8500000000000001,0.9479166666666666,0.5578263571778679,1.0,0.4652987421383648,0.975,0.7903759132721292,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025070&&companyFlag=0
O2813841502025069,徐汇区房地产业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0276936391172652,0.9897263864136702,0.9620327472964048,0.0370059754691267,0.0093123363518615,0.8500000000000001,0.8229166666666666,0.6615349025237393,1.0,0.4157971698113207,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025069&&companyFlag=0
O2813841502026115,徐汇区_室外消火栓末端压力_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0022717438338381,0.963727854072754,0.9614561102389158,0.0091204528776601,0.006848709043822,0.8416666666666667,0.8875,0.4575881959747618,1.0,0.5445707547169811,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026115&&companyFlag=0
O2813841502026054,徐汇区虹梅街道_火灾烟雾探测传感器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0075724794461272,0.9686549952825244,0.9610825158363973,0.0054513051682566,-0.0021211742778705,0.8416666666666667,0.9291666666666666,0.4822395970478594,1.0,0.5019764150943397,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026054&&companyFlag=0
O2813841502026035,徐汇区康健街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0123323236694071,0.9729531397421112,0.960620816072704,0.0264178635077052,0.0140855398382981,0.8416666666666667,0.95,0.4948782103566039,1.0,0.4990047169811322,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026035&&companyFlag=0
O2813841502025061,徐汇区印刷和记录媒介复制业单位,经济建设,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.0323453050627434,0.992661704581193,0.9603163995184496,0.0253695355907327,-0.0069757694720106,0.8500000000000001,0.8854166666666666,0.5693055782760269,1.0,0.4652987421383648,0.975,0.7992532476649847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025061&&companyFlag=0
