数据领域,count,share
民生服务,2059,0.2102522209741652
经济建设,1573,0.1606249361789033
城市建设,1448,0.14786071683855814
教育科技,787,0.08036352496681302
卫生健康,631,0.06443377923006229
文化休闲,600,0.061268252833656695
公共安全,561,0.05728581639946901
资源环境,543,0.05544776881445931
机构团体,478,0.04881037475747983
道路交通,330,0.03369753905851118
社会发展,309,0.0315531502093332
信用服务,214,0.021852343510670887
工业制造,78,0.00796487286837537
社保就业,76,0.007760645358929848
农业农村,71,0.007250076585316042
气象服务,29,0.0029612988869600733
绿色低碳,6,0.0006126825283365669
