数据资源提供部门,count,share,cumulative_count,cumulative_share
上海市虹口区人民政府,671,0.06851832941897273,671,0.06851832941897273
上海市黄浦区人民政府,598,0.06106402532421117,1269,0.12958235474318391
上海市宝山区人民政府,569,0.0581027264372511,1838,0.187685081180435
上海市徐汇区人民政府,557,0.056877361380577966,2395,0.24456244256101298
上海市大数据中心,535,0.05463085877667722,2930,0.2991933013376902
上海市青浦区人民政府,527,0.053813948738895126,3457,0.3530072500765853
上海市浦东新区人民政府,510,0.05207801490860819,3967,0.4050852649851935
上海市嘉定区人民政府,507,0.05177167364443991,4474,0.4568569386296334
上海市普陀区人民政府,424,0.04329623200245073,4898,0.5001531706320841
上海市闵行区人民政府,399,0.0407433881343817,5297,0.5408965587664658
上海市绿化和市容管理局,339,0.03461656285101603,5636,0.5755131216174819
上海市长宁区人民政府,331,0.033799652813233945,5967,0.6093127744307159
上海市金山区人民政府,292,0.029817216379046257,6259,0.6391299908097621
上海市静安区人民政府,235,0.023996732359848873,6494,0.663126723169611
上海市文化和旅游局,221,0.022567139793730217,6715,0.6856938629633411
上海市奉贤区人民政府,207,0.021137547227611558,6922,0.7068314101909527
上海市崇明区人民政府,198,0.02021852343510671,7120,0.7270499336260594
上海市住房和城乡建设管理委员会,180,0.018380475850097007,7300,0.7454304094761565
上海市商务委员会,177,0.018074134585928724,7477,0.7635045440620851
上海市交通委员会,171,0.01746145205759216,7648,0.7809659961196773
上海市农业农村委员会,167,0.017052997038701112,7815,0.7980189931583784
上海市规划和自然资源局,164,0.01674665577453283,7979,0.8147656489329113
上海市统计局,161,0.016440314510364547,8140,0.8312059634432758
上海市生态环境局,150,0.015317063208414174,8290,0.84652302665169
上海市杨浦区人民政府,146,0.014908608189523128,8436,0.8614316348412131
上海市松江区人民政府,126,0.012866333095067906,8562,0.874297967936281
上海市崇明区人民政府办公室,89,0.009088124170325743,8651,0.8833860921066068
上海市徐汇区人民政府办公室,85,0.008679669151434699,8736,0.8920657612580415
上海市公安局,84,0.008577555396711936,8820,0.9006433166547534
上海市科学技术委员会,83,0.008475441641989176,8903,0.9091187582967426
上海市民政局,81,0.008271214132543654,8984,0.9173899724292862
上海市财政局,76,0.007760645358929848,9060,0.9251506177882161
上海市教育委员会,75,0.007658531604207087,9135,0.9328091493924232
上海市水务局,64,0.006535280302256714,9199,0.9393444296946799
上海市应急管理局,48,0.004901460226692535,9247,0.9442458899213724
上海市体育局,45,0.004595118962524252,9292,0.9488410088838967
上海市经济和信息化委员会,45,0.004595118962524252,9337,0.953436127846421
上海市市场监督管理局,40,0.0040845501889104465,9377,0.9575206780353314
上海市人力资源和社会保障局,39,0.003982436434187685,9416,0.9615031144695191
上海市司法局,36,0.0036760951700194017,9452,0.9651792096395384
上海市静安区政府,34,0.0034718676605738795,9486,0.9686510773001124
上海市卫生健康委员会（上海市中医药管理局）,32,0.003267640151128357,9518,0.9719187174512407
上海市知识产权局,31,0.003165526396405596,9549,0.9750842438476462
上海市药品监督管理局,25,0.002552843868069029,9574,0.9776370877157153
上海随申行智慧交通科技有限公司,20,0.0020422750944552232,9594,0.9796793628101705
上海市发展和改革委员会,20,0.0020422750944552232,9614,0.9817216379046257
上海市卫生健康委员会,18,0.0018380475850097008,9632,0.9835596854896355
上海市国防动员办公室,17,0.0017359338302869397,9649,0.9852956193199224
上海市国有资产监督管理委员会,15,0.0015317063208414173,9664,0.9868273256407638
中共上海市委金融委员会办公室,15,0.0015317063208414173,9679,0.9883590319616052
