数据资源提供部门,resource_count,actualuse_median,actualuse_mean,rule_dormant_count,rule_dormant_share
上海市虹口区人民政府,671,0.5399715215622457,0.4997698320238628,8,0.011922503725782414
上海市黄浦区人民政府,597,0.3533360455655004,0.42361595473212926,19,0.031825795644891124
上海市宝山区人民政府,569,0.334703591518823,0.3521819830787313,45,0.07908611599297012
上海市徐汇区人民政府,557,0.1552358286456079,0.24601106299624653,334,0.599640933572711
上海市大数据中心,527,0.284941583729987,0.29871004889296787,44,0.08349146110056926
上海市青浦区人民政府,527,0.7502034174125305,0.6466652283226899,72,0.1366223908918406
上海市浦东新区人民政府,508,0.561661618347036,0.5515669410555573,77,0.1515748031496063
上海市嘉定区人民政府,506,0.1108827347468628,0.22394108258494852,98,0.19367588932806323
上海市普陀区人民政府,423,0.5670705322371268,0.46680873038794246,96,0.22695035460992907
上海市闵行区人民政府,392,0.4492473555736371,0.4732238544468089,77,0.19642857142857142
上海市长宁区人民政府,330,0.1998576078112286,0.346028562756903,9,0.02727272727272727
上海市金山区人民政府,291,0.4472090004327131,0.4476861101978162,66,0.2268041237113402
上海市绿化和市容管理局,291,0.7255899104963385,0.6804908759219888,38,0.13058419243986255
上海市静安区人民政府,235,0.4450454348766767,0.5391788596194032,15,0.06382978723404255
上海市奉贤区人民政府,207,0.2676973148901546,0.2967027334659858,10,0.04830917874396135
上海市崇明区人民政府,188,0.2157241659886086,0.2644977943265133,10,0.05319148936170213
上海市商务委员会,176,0.847656201863307,0.7596630257649146,0,0.0
上海市农业农村委员会,167,0.2157241659886086,0.2542514722545864,1,0.005988023952095809
上海市规划和自然资源局,164,0.821806346623271,0.8059135545855666,0,0.0
上海市交通委员会,164,0.8560147122457811,0.845379372647827,1,0.006097560975609756
上海市住房和城乡建设管理委员会,155,0.7320992676973149,0.7529985170725534,0,0.0
上海市生态环境局,148,0.7268104149715215,0.7418975408424682,4,0.02702702702702703
上海市杨浦区人民政府,145,0.5897879705755085,0.6041445025287085,10,0.06896551724137931
上海市统计局,142,0.9352012115967114,0.8570511150427108,0,0.0
