数据领域,不定期更新,即时,每半年,每周,每天,每季度,每年,每月,静态数据
信用服务,13,2,0,0,83,5,76,8,20
公共安全,52,0,5,4,53,3,351,62,27
农业农村,22,0,0,0,6,0,34,9,0
卫生健康,168,2,1,2,61,12,279,57,41
城市建设,185,16,15,3,204,19,604,232,92
工业制造,64,0,0,0,6,0,7,1,0
教育科技,199,0,6,0,63,4,355,47,101
文化休闲,71,6,8,2,169,0,225,16,18
机构团体,86,20,1,0,85,3,210,32,31
民生服务,203,8,5,7,196,10,1258,190,172
气象服务,11,0,0,0,13,0,5,0,0
社会发展,22,1,15,1,23,1,127,55,63
社保就业,12,0,0,0,8,0,54,2,0
经济建设,344,0,1,0,109,39,791,118,142
绿色低碳,1,0,0,0,0,3,2,0,0
资源环境,71,10,4,6,137,9,189,66,46
道路交通,169,1,1,0,26,0,90,13,26
