数据资源提供部门,count,share
上海市虹口区人民政府,671,0.06851832941897273
上海市黄浦区人民政府,598,0.06106402532421117
上海市宝山区人民政府,569,0.0581027264372511
上海市徐汇区人民政府,557,0.056877361380577966
上海市大数据中心,535,0.05463085877667722
上海市青浦区人民政府,527,0.053813948738895126
上海市浦东新区人民政府,510,0.05207801490860819
上海市嘉定区人民政府,507,0.05177167364443991
上海市普陀区人民政府,424,0.04329623200245073
上海市闵行区人民政府,399,0.0407433881343817
上海市绿化和市容管理局,339,0.03461656285101603
上海市长宁区人民政府,331,0.033799652813233945
上海市金山区人民政府,292,0.029817216379046257
上海市静安区人民政府,235,0.023996732359848873
上海市文化和旅游局,221,0.022567139793730217
上海市奉贤区人民政府,207,0.021137547227611558
上海市崇明区人民政府,198,0.02021852343510671
上海市住房和城乡建设管理委员会,180,0.018380475850097007
上海市商务委员会,177,0.018074134585928724
上海市交通委员会,171,0.01746145205759216
上海市农业农村委员会,167,0.017052997038701112
上海市规划和自然资源局,164,0.01674665577453283
上海市统计局,161,0.016440314510364547
上海市生态环境局,150,0.015317063208414174
上海市杨浦区人民政府,146,0.014908608189523128
上海市松江区人民政府,126,0.012866333095067906
上海市崇明区人民政府办公室,89,0.009088124170325743
上海市徐汇区人民政府办公室,85,0.008679669151434699
上海市公安局,84,0.008577555396711936
上海市科学技术委员会,83,0.008475441641989176
