model,fold,n,r2,mae,rmse,spearman_corr,pearson_corr
XGBoost_no_age,1,1908,0.8869795418395785,0.06658510565244766,0.09713089288106885,0.94057894356623,0.9418035661041873
XGBoost_no_age,2,1908,0.9001677288679651,0.06316560620716105,0.09219455053735388,0.9470132982729659,0.9488440084119641
XGBoost_no_age,3,1908,0.9007598987385382,0.06233342661721856,0.08897754322291188,0.9483614369676676,0.9490837619271109
XGBoost_no_age,4,1908,0.9034125800387062,0.06279522048010268,0.0897595083862385,0.9494350986397966,0.9504999092486419
XGBoost_no_age,5,1908,0.9049015829479784,0.06463679465665484,0.0896463119868781,0.9510661070510567,0.9517077869116487
XGBoost_no_age,OOF,9540,0.8993702977026912,0.06390323072271695,0.091590915812903,0.9476346160886198,0.948401750245757
LightGBM_no_age,1,1908,0.8886311197504854,0.06480848239331126,0.09641858992091816,0.9416193969581138,0.9426888770858458
LightGBM_no_age,2,1908,0.8979364718574772,0.06270400817646092,0.0932191340550865,0.9455242806020272,0.9476372147094716
LightGBM_no_age,3,1908,0.900658543028325,0.06109179619871828,0.08902296881442037,0.947997903154849,0.9490812428244414
LightGBM_no_age,4,1908,0.9024499661094372,0.06313297174682908,0.09020568211658564,0.9488868792478568,0.9499964919135683
LightGBM_no_age,5,1908,0.90550626641822,0.06299857233226369,0.0893608493597924,0.9511395621389959,0.9517931952450408
LightGBM_no_age,OOF,9540,0.8991558464153697,0.06294716616951665,0.09168845826741077,0.9473719365538533,0.9482479196358895
HistGradientBoosting_no_age,1,1908,0.8906032995188893,0.06460850394449956,0.09556106055520913,0.9425072253001108,0.9437208166666275
HistGradientBoosting_no_age,2,1908,0.9000693357375908,0.06245066235249217,0.09223997210441442,0.9469588178592686,0.9487323468420426
HistGradientBoosting_no_age,3,1908,0.8991225834237208,0.061527124089537026,0.08970853958804162,0.9475040306159058,0.94827682156263
HistGradientBoosting_no_age,4,1908,0.9018863456665456,0.06294617805470618,0.09046590006844733,0.9487359979320802,0.9496939145508032
HistGradientBoosting_no_age,5,1908,0.9057681242665956,0.06331610000568463,0.08923694657509187,0.9515977438068767,0.9519379357244907
HistGradientBoosting_no_age,OOF,9540,0.899632801294197,0.06296971368938391,0.09147137533952229,0.9477708684748308,0.948497520257233
CatBoost_no_age,1,1908,0.8841805978964,0.0684529574285755,0.09832625733350323,0.9393991242157016,0.9403191858038937
CatBoost_no_age,2,1908,0.9034513938331101,0.06236977177717835,0.09066565012100468,0.9492224282759046,0.9506036650897574
CatBoost_no_age,3,1908,0.8974654485605402,0.06447211186834531,0.09044236883956726,0.947069514764277,0.9473485393022996
CatBoost_no_age,4,1908,0.9043067872768732,0.06340519441408228,0.08934304505509126,0.949474141229258,0.9509945634530899
CatBoost_no_age,5,1908,0.9034826101036195,0.06643934023756883,0.09031264630429041,0.95001467113209,0.9508533133375897
CatBoost_no_age,OOF,9540,0.8987412263602892,0.06502787514515006,0.09187675316051497,0.9473359870452868,0.9480618466190907
