candidate_layer,group_col,group_value,count
strict_model_residual_candidate,数据领域,资源环境,1
strict_model_residual_candidate,数据资源类型,数据产品,1
strict_model_residual_candidate,开放属性,有条件开放,1
residual_top10_lowuse_candidate,数据领域,民生服务,165
residual_top10_lowuse_candidate,数据领域,经济建设,79
residual_top10_lowuse_candidate,数据领域,城市建设,73
residual_top10_lowuse_candidate,数据领域,文化休闲,50
residual_top10_lowuse_candidate,数据领域,卫生健康,44
residual_top10_lowuse_candidate,数据领域,机构团体,37
residual_top10_lowuse_candidate,数据领域,教育科技,36
residual_top10_lowuse_candidate,数据领域,资源环境,34
residual_top10_lowuse_candidate,数据领域,社会发展,24
residual_top10_lowuse_candidate,数据领域,公共安全,14
residual_top10_lowuse_candidate,数据领域,道路交通,13
residual_top10_lowuse_candidate,数据领域,社保就业,6
residual_top10_lowuse_candidate,数据领域,信用服务,4
residual_top10_lowuse_candidate,数据领域,工业制造,4
residual_top10_lowuse_candidate,数据领域,农业农村,3
residual_top10_lowuse_candidate,数据领域,气象服务,1
residual_top10_lowuse_candidate,数据资源类型,数据接口,401
residual_top10_lowuse_candidate,数据资源类型,数据产品,186
residual_top10_lowuse_candidate,开放属性,无条件开放,296
residual_top10_lowuse_candidate,开放属性,有条件开放,291
rule_candidate_model_enhanced_top20,数据领域,民生服务,64
rule_candidate_model_enhanced_top20,数据领域,城市建设,32
rule_candidate_model_enhanced_top20,数据领域,经济建设,31
rule_candidate_model_enhanced_top20,数据领域,卫生健康,26
rule_candidate_model_enhanced_top20,数据领域,资源环境,15
rule_candidate_model_enhanced_top20,数据领域,文化休闲,14
rule_candidate_model_enhanced_top20,数据领域,机构团体,11
rule_candidate_model_enhanced_top20,数据领域,公共安全,8
rule_candidate_model_enhanced_top20,数据领域,教育科技,7
rule_candidate_model_enhanced_top20,数据领域,道路交通,5
rule_candidate_model_enhanced_top20,数据领域,社会发展,5
rule_candidate_model_enhanced_top20,数据领域,社保就业,2
rule_candidate_model_enhanced_top20,数据领域,工业制造,1
rule_candidate_model_enhanced_top20,数据领域,农业农村,1
rule_candidate_model_enhanced_top20,数据领域,气象服务,1
rule_candidate_model_enhanced_top20,数据资源类型,数据接口,128
rule_candidate_model_enhanced_top20,数据资源类型,数据产品,95
rule_candidate_model_enhanced_top20,开放属性,无条件开放,141
rule_candidate_model_enhanced_top20,开放属性,有条件开放,82
multi_model_strict_residual_2plus,数据领域,民生服务,1
multi_model_strict_residual_2plus,数据领域,文化休闲,1
multi_model_strict_residual_2plus,数据领域,公共安全,1
multi_model_strict_residual_2plus,数据领域,资源环境,1
multi_model_strict_residual_2plus,数据资源类型,数据产品,3
multi_model_strict_residual_2plus,数据资源类型,数据接口,1
multi_model_strict_residual_2plus,开放属性,有条件开放,3
multi_model_strict_residual_2plus,开放属性,无条件开放,1
