group_col,group_value,count,potential_median,potential_mean,high_potential_count,high_potential_share
数据资源类型,数据产品,4623,0.5809833315861201,0.5504487798159211,1546,0.3344148821111832
数据资源类型,数据接口,4917,0.3931229688646608,0.4525676816983927,1316,0.2676428716697173
开放属性,无条件开放,5522,0.5643673341021072,0.5290172402291072,1931,0.34969214052879394
开放属性,有条件开放,4018,0.4225285669357375,0.46012115466771264,931,0.23170731707317074
数据领域,信用服务,207,0.3555928294370479,0.4289484359403274,47,0.22705314009661837
数据领域,公共安全,557,0.630149910892127,0.5891516316932304,253,0.4542190305206463
数据领域,农业农村,71,0.4992137540622707,0.4479328007040039,14,0.19718309859154928
数据领域,卫生健康,623,0.5026732361882797,0.5203815644384285,213,0.3418940609951846
数据领域,城市建设,1370,0.5299821784254115,0.5160181062300521,445,0.3248175182481752
数据领域,工业制造,78,0.03910263130307155,0.1219111286728437,2,0.02564102564102564
数据领域,教育科技,775,0.4526679945486948,0.4635343530294986,193,0.24903225806451612
数据领域,文化休闲,515,0.4312821050424573,0.456854792334382,115,0.22330097087378642
数据领域,机构团体,468,0.3902400670929867,0.4324415377984935,86,0.18376068376068377
数据领域,民生服务,2049,0.5554041304119929,0.5318617244733302,690,0.3367496339677892
数据领域,气象服务,29,0.8390816647447321,0.7267551359030622,17,0.5862068965517241
数据领域,社会发展,308,0.38237760771569346,0.4255939049942615,81,0.262987012987013
数据领域,社保就业,76,0.573802285354859,0.5579670162932229,27,0.35526315789473684
数据领域,经济建设,1544,0.4873676486004822,0.4883172544454807,411,0.2661917098445596
数据领域,绿色低碳,6,0.3370898417024845,0.37282035153929477,1,0.16666666666666666
数据领域,资源环境,538,0.5203375615892651,0.5192858236837151,161,0.2992565055762082
数据领域,道路交通,326,0.514257259670825,0.5023616319700139,106,0.32515337423312884
更新频率,不定期更新,1693,0.4065415662019079,0.40365225557380097,304,0.1795629060838748
更新频率,即时,66,0.4928713701645875,0.5123130878975306,24,0.36363636363636365
更新频率,每半年,62,0.3277597232414299,0.37705311640836087,10,0.16129032258064516
更新频率,每周,25,0.4964881014781424,0.49328021805220673,4,0.16
更新频率,每天,1242,0.5648914980605934,0.5823081749826418,480,0.3864734299516908
更新频率,每季度,108,0.5377398050110074,0.5180176507359651,30,0.2777777777777778
更新频率,每年,4657,0.554146136911626,0.5343824881469951,1649,0.3540906162765729
更新频率,每月,908,0.43185868539679206,0.4684126560426868,194,0.21365638766519823
更新频率,静态数据,779,0.4270887933745675,0.41589752278363756,167,0.21437740693196405
