数据集ID,retry_reason,数据资源名称,数据资源类型,type_code,detail_url,old_status,old_download_formats,old_record_count,old_data_size,old_field_names,old_detail_spatial_scope,old_detail_time_scope,old_scraped_at
O2813838802026002,"first4000_missing_core:record_count,data_size",嘉定区监管计划抽查信息,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838802026002&&companyFlag=0,success,XML;JSON,,,enty_type;establish_date_end;establish_date_start;etps_type_gb;fixed_sp;if_limited_annl;in_petrol_blacklist;is_fixed;limited_annl_year;limited_organ_level;plan_id;spot_organ_range;spot_organ_type;spot_scale;任务实施区域是否限制到本级别;任务实施地域;企业类型;参数描述;参数类型;固定抽查规则sp;字元型;字段大小;市场主体类别;抽查机关类型;抽查比例;数位型;是否处在成品油黑名单中;是否自订抽查规则;是否限定年报年度;计划编号;设立日期开始;设立日期截止;限定的年报年度,,,2026-04-28T17:59:56
O2813838802026001,"first4000_missing_core:record_count,data_size",嘉定区抽查事项清单,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838802026001&&companyFlag=0,success,XML;JSON,,,content_name;content_values;string,,,2026-04-28T18:00:06
O8568744852026007,"first4000_missing_core:record_count,data_size",第二类医疗器械产品注册信息,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O8568744852026007&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,cpmc_zw;frmc_zw;jhpt_update_time;qfrq;qymc_zw;shxydm;sqid;sxrq;update_time;yxqz;zcdz_zw;zsbh;zszt;第二类医疗器材产品注册资讯,,,2026-04-28T18:00:16
O2813838352026110,"first4000_missing_core:record_count,data_size",崇明区公共信用平台_行为清单,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026110&&companyFlag=0,success,XML;JSON,,,bmlx;cdfj;createdate;delstatus;dwdm;dwdm2;dwmc;dwmc2;guid;id;nf;qdzt;revstatus;sjpt_frist_rb_time;sjpt_frist_update_time;sjpt_id;sjpt_rb_time;sjpt_sjly;sjpt_task_id;sjpt_update_time;sxbm;sxlb;updatetime;xdr;xwfl;xwsx;xwsxcljg;xxsx;zt,,,2026-04-28T18:00:26
O2813839472026034,"first4000_missing_core:record_count,data_size",金山区2025四季度出厂水常规43项水质指标,数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026034&&companyFlag=0,success,RDF;XML;CSV;JSON,,,金山区2025第四季出厂水常规43项水质指标,,,2026-04-28T18:00:36
O2813839472026035,"first4000_missing_core:record_count,data_size",金山区2025年12月出厂水常规43项水质指标,数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026035&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,单位;指标;检测值,,,2026-04-28T18:00:46
O7417764792026001,"first4000_missing_core:record_count,data_size",上海市学校基本信息（数字基座）,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O7417764792026001&&companyFlag=0,success,XML;JSON,,,jgbm;jgmc;rksj;tyshxydm;zt,,,2026-04-28T18:00:56
O2813842482026020,"first4000_missing_core:record_count,data_size",黄浦区法人经营信息表(产品),数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026020&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人经营资讯表,,,2026-04-28T18:01:06
O2813842482026019,"first4000_missing_core:record_count,data_size",黄浦区法人登记管理信息表(产品),数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026019&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人登记管理资料表,,,2026-04-28T18:01:16
O2813842482026018,"first4000_missing_core:record_count,data_size",黄浦区按法人类型统计新注册法人数量(产品),数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026018&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,黄浦区依法人类型统计新注册法人数量,,,2026-04-28T18:01:26
O2813842482026017,"first4000_missing_core:record_count,data_size",黄浦区街道注册企业和经营企业数量统计（产品),数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026017&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,黄浦区街道注册企业及经营企业数量统计,,,2026-04-28T18:01:36
O2813842482026016,"first4000_missing_core:record_count,data_size",黄浦区法人基本信息(产品),数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026016&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人基本资料20260331,,,2026-04-28T18:01:46
O5115799352026001,"first4000_missing_core:record_count,data_size",家政员工制人员信息,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5115799352026001&&companyFlag=0,success,XML;JSON,,,add_time;jhpt_delete;qymc;rymc;shxydm;status,,,2026-04-28T18:01:56
O5115799352026002,"first4000_missing_core:record_count,data_size",家政员工制人员信息历史,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5115799352026002&&companyFlag=0,success,XML;JSON,,,add_time;jhpt_delete;qymc;rymc;shxydm;status,,,2026-04-28T18:02:06
O2813838352026101,"first4000_missing_core:record_count,data_size",崇明区长护险服务机构服务表,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026101&&companyFlag=0,success,XML;JSON,,,company_id;company_name;conpany_address;enable;organ_address;organ_code;organ_con_mail;organ_coo;organ_county;organ_county_code;organ_id;organ_name;organ_no;organ_property;organ_type;parent_id;report_address;report_letter;sync_date,,,2026-04-28T18:02:16
