数据集ID,download_formats,api_need_apply,format_count,record_count,data_size,field_names,field_count,has_time_field,has_geo_field,field_description_count,has_standard_field_description,has_data_sample,sample_field_headers,recommended_dataset_count,recommended_dataset_names,rating_score,comment_count,detail_spatial_scope,detail_time_scope,scrape_status,scraped_at,has_rdf,has_xml,has_csv,has_json,has_xlsx,备注,detail_url,scrape_error
6361,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:07,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=6361&&companyFlag=0,detail page says dataset id is invalid or removed
6129,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:09,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=6129&&companyFlag=0,detail page says dataset id is invalid or removed
6136,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:11,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=6136&&companyFlag=0,detail page says dataset id is invalid or removed
6181,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:13,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6181&&companyFlag=0,detail page says dataset id is invalid or removed
6143,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:16,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6143&&companyFlag=0,detail page says dataset id is invalid or removed
6145,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:18,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6145&&companyFlag=0,detail page says dataset id is invalid or removed
6148,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:20,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6148&&companyFlag=0,detail page says dataset id is invalid or removed
6149,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:34,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6149&&companyFlag=0,detail page says dataset id is invalid or removed
6150,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:36,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6150&&companyFlag=0,detail page says dataset id is invalid or removed
6151,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:39,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6151&&companyFlag=0,detail page says dataset id is invalid or removed
6152,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:41,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6152&&companyFlag=0,detail page says dataset id is invalid or removed
6153,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:43,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6153&&companyFlag=0,detail page says dataset id is invalid or removed
6154,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:45,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6154&&companyFlag=0,detail page says dataset id is invalid or removed
6155,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:47,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6155&&companyFlag=0,detail page says dataset id is invalid or removed
6160,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,unavailable,2026-05-02T02:39:50,,,,,,详情页提示数据集ID不正确或数据集已下架，作为终止状态跳过重试,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=6160&&companyFlag=0,detail page says dataset id is invalid or removed
