row_no,dataset_id,retry_reason,old_status,old_missing_core,new_status,new_missing_core,action,duration_seconds
197,O8065471362025004,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.17
354,O2813842482025116,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.16
555,O1518420672025006,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.2
556,O1518420672025007,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.24
763,O2813838442025085,"first4000_missing_core:download_formats,field_names",success,"download_formats,field_names",success,"download_formats,field_names",upsert,24.5
1336,O0210151432025003,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.17
1337,O0210151432025002,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,download_formats,upsert,28.15
1348,O1928138392025484,first4000_missing_core:field_names,success,field_names,success,field_names,upsert,28.19
1612,O6344680892025009,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,"download_formats,field_names",upsert,28.16
1653,O5915184142025018,first4000_missing_core:field_names,success,field_names,success,field_names,upsert,28.22
1654,O5915184142025016,first4000_missing_core:field_names,success,field_names,success,field_names,upsert,28.16
1740,O5915184122025002,"first4000_missing_core:download_formats,record_count,field_names",success,"download_formats,record_count,field_names",success,"download_formats,field_names",upsert,24.49
1816,O5915184122025072,first4000_missing_core:field_names,success,field_names,success,field_names,upsert,28.19
1855,O5915184122025049,"first4000_missing_core:download_formats,field_names",success,"download_formats,field_names",success,download_formats,upsert,28.18
1858,O5915184122025047,"first4000_missing_core:download_formats,field_names",success,"download_formats,field_names",success,download_formats,upsert,28.19
1862,O5915184122025044,"first4000_missing_core:download_formats,field_names",success,"download_formats,field_names",success,download_formats,upsert,28.26
2034,O0210151442025001,first4000_missing_core:field_names,success,field_names,success,field_names,upsert,28.18
