???ID,third_retry_reason,??????,type_code,detail_url,scrape_status,download_formats,record_count,data_size,field_count_detected,field_names,detail_spatial_scope,detail_time_scope,scrape_error
1400,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1400&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1401,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1401&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1402,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1402&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1418,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1418&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1485,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1485&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1486,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1486&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1529,unavailable,数据产品,cp,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1529&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1632,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1632&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
1679,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1679&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5904,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5904&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5905,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5905&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5906,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5906&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5907,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5907&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5908,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5908&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5910,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5910&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5911,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5911&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
5912,unavailable,数据接口,jk,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5912&&companyFlag=0,unavailable,,,,0,,,,detail page says dataset id is invalid or removed
