queue_row_no,master_row_no,dataset_id,third_retry_reason,old_status,old_issues,new_status,new_issues,action,changed_fields,quality_checks,attempts,duration_seconds,error
1,8756,1400,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.38,
2,8755,1401,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.35,
3,8754,1402,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.28,
4,8347,1418,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.29,
5,8369,1485,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.26,
6,8368,1486,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.23,
7,8684,1529,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.26,
8,8613,1632,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.27,
9,8340,1679,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.23,
10,7997,5904,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.13,
11,7998,5905,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.25,
12,7999,5906,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.24,
13,8000,5907,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.24,
14,8001,5908,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.25,
15,8002,5910,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.26,
16,8003,5911,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.24,
17,8009,5912,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.22,
18,8010,5913,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.23,
19,8011,5914,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.28,
20,8004,5915,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,17.21,
21,8005,5916,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.3,
22,8006,5917,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.25,
23,8012,5918,unavailable,unavailable,unavailable,unavailable,unavailable,upsert_unavailable,,3,1:unavailable:unavailable:fc=0 || 2:unavailable:unavailable:fc=0 || 3:unavailable:unavailable:fc=0,5.27,
