__master_row_number,数据集ID,detail_url,scrape_status,download_formats,record_count,data_size,field_names,field_count,detail_spatial_scope,detail_time_scope,scrape_error,scraped_at,round3_residual_issues
5,O2813839472026039,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026039&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,12.0,4 KB,所在镇;补贴总额（元）;还田作业方式;还田作业面积（亩）,4.0,金山区,2024年-2026年,,2026-04-28T17:57:27,suspicious_field_names
7,O2813839472026041,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026041&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,18.0,21 KB,检查主体;检查事项;检查依据;检查方式;检查比例;检查范围;检查项目;计划实施时间,8.0,金山区,2025年-2026年,,2026-04-28T17:57:45,suspicious_field_names
9,O2813839472026043,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026043&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,16.0,5 KB,农机服务组织名称;奖补资金;所属镇;评级,4.0,金山区,-,,2026-05-02T16:14:17,suspicious_field_names
18,O2813839472026034,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026034&&companyFlag=0,success,RDF;XML;CSV;JSON,45,15 KB,单位;平均值;最大值;最小值;限值;项目,6.0,金山区,-,,2026-05-01T20:53:26,suspicious_field_names
23,O2813842482026018,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026018&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,201,125 KB,主键;删除标识符;年;当年累计量;当月累计量;数据交换时间;数据日期;月;法人类型;行号,10.0,黄浦区,-,,2026-05-01T20:54:08,suspicious_field_names
41,O4468094442026003,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026003&&companyFlag=0,success,RDF;XML;CSV;JSON,67,19 KB,利润总额;年份;税费;类别/指标名称;营业收入;资产总计,6.0,本市,-,,2026-05-01T20:56:50,suspicious_field_names
42,O4468094442026001,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026001&&companyFlag=0,success,RDF;XML;CSV;JSON,22,7 KB,利润总额;固定资产原价;实收资本;年份;应付职工薪酬;所有者权益合计;流动资产;税金及附加;管理费用;累计折旧;编号;营业利润;营业成本;营业收入;负债合计;财务费用;资产总计;销售费用,18.0,本市,-,,2026-05-01T20:56:59,suspicious_field_names
43,O4468094442026002,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026002&&companyFlag=0,success,RDF;XML;CSV;JSON,22,7 KB,利润总额;固定资产原价;实收资本;年份;应付职工薪酬;所有者权益合计;流动资产;税金及附加;管理费用;累计折旧;编号;营业利润;营业成本;营业收入;负债合计;财务费用;资产总计;销售费用,18.0,本市,-,,2026-05-01T20:57:07,suspicious_field_names
135,O8568746692026052,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O8568746692026052&&companyFlag=0,success,XML;JSON,410.0,43 KB,district;jcsj;jlr;town;village;xckcqk_compliance_certificate;xckcqk_dk_check;xckcqk_ioppmaafr;xckcqk_pesticide_management;xckcqk_pesticide_use;xckcqk_ppafr;xckcqk_qpqassap;xckcqk_quality_mark;xckcqk_tpqasmtp;华新镇;参数描述;参数类型;字段大小;字符型;数字型;检查勘验地点所在区;检查勘验地点所在村;检查勘验地点所在镇;检查时间;现场检查情况之农产品质量安全制度与人员;现场检查情况之农产品质量安全管理技术人员;现场检查情况之农药使用;现场检查情况之农药包装物与农膜回收;现场检查情况之农药包装物与农膜回收执行情况;现场检查情况之农药管理;现场检查情况之地块抽查;现场检查情况之承诺达标合格证;现场检查情况之质量标志;记录人;青浦区;项波,36.0,本市,-,,2026-04-28T18:23:32,suspicious_field_names
137,O2813839692026046,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026046&&companyFlag=0,success,XML;JSON,100.0,2 KB,gzdw;xh;yxgr;上海市虹口区国防动员办公室;优秀个人;参数描述;参数类型;字段大小;字符型;工作单位;数字型;经纬,12.0,虹口区,-,,2026-04-28T18:23:57,suspicious_field_names
140,O2813839692026043,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026043&&companyFlag=0,success,XML;JSON,573.0,26 KB,2144.98;bz;bzrs;ssjz;xh;xm;ybzje_y;保障人数;参数描述;参数类型;嘉兴路街道;姓名;字段大小;字符型;所属街镇;数字型;月保障金额_元,17.0,虹口区,-,,2026-04-28T18:24:35,suspicious_field_names
144,O2813839692026039,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026039&&companyFlag=0,success,XML;JSON,120.0,6 KB,/;bcscrqxh;bcysczxsz;bcyxszszd;cccp;ggxh;sb;xh;上海虹口中油华鑫油品供应有限公司;参数描述;参数类型;商标;字段大小;字符型;抽查产品;数字型;未标注;标称生产日期/批号;被抽样生产者、销售者;被抽样销售者所在地;规格型号;车用柴油,22.0,虹口区,-,,2026-04-28T18:25:25,suspicious_field_names
146,O2813839692026037,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026037&&companyFlag=0,success,XML;JSON,6.0,1 KB,-;2026-04-24;bh;bm;bz;bzwh;sfbz;sfxmmc;xh;zcyj;zjglfs;公共管理、社会保障和社会组织,12.0,虹口区,-,,2026-04-28T18:25:50,suspicious_field_names
147,O2813839692026047,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026047&&companyFlag=0,success,XML;JSON,74.0,6 KB,-;2026-04-24;bmmc;bzzdfsjbm;dwxz;fwnrhsjsx;sfbz;sfdwmc;sfxm;sfxz;xh;zcyj;公共管理、社会保障和社会组织,13.0,虹口区,-,,2026-04-28T18:26:02,suspicious_field_names
148,O2813839692026048,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026048&&companyFlag=0,success,XML;JSON,1.0,1 KB,-;2026-04-24;bmmc;bz;bzzdfsjbm;dwxz;fwnrhsjsx;sfbz;sfdwmc;sfxm;sfxz;xh;zcyj;公共管理、社会保障和社会组织,14.0,虹口区,-,,2026-04-28T18:26:15,suspicious_field_names
149,O2813839692026049,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026049&&companyFlag=0,success,XML;JSON,1.0,1 KB,-;2026-04-24;bmmc;bz;bzzdfsjbm;dwxz;fwnrhsjsx;sfbz;sfdwmc;sfxm;sfxz;xh;zcyj;公共管理、社会保障和社会组织,14.0,虹口区,-,,2026-04-28T18:26:27,suspicious_field_names
151,O2813839692026051,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026051&&companyFlag=0,success,XML;JSON,9.0,1 KB,-;2026-04-24;bm;bz;pzwh;sfbz;sfxmmc;xh;zcyj;zjglfs;公共管理、社会保障和社会组织,11.0,虹口区,-,,2026-04-28T18:27:00,suspicious_field_names
152,O2813839692026052,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026052&&companyFlag=0,success,XML;JSON,2.0,1 KB,-;2026-04-24;bh;bm;bz;pzwh;sfbz;sfxmmc;xh;zcyj;zjglfs;公共管理、社会保障和社会组织,12.0,虹口区,-,,2026-04-28T18:27:12,suspicious_field_names
153,O2813839692026053,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026053&&companyFlag=0,success,XML;JSON,3.0,1 KB,-;2026-04-24;bh;bm;bz;pzwh;sfbz;sfxmmc;xh;zcyj;zjglfs;公共管理、社会保障和社会组织,12.0,虹口区,-,,2026-04-28T18:27:25,suspicious_field_names
166,O2813839472026031,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026031&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,179.0,76 KB,上海上水果蔬种植专业合作社;上海云利果蔬专业合作社;上海壹佰米网络科技有限公司;上海天合果蔬专业合作社;上海峰盛果蔬专业合作社;上海廊喜食用菌专业合作社;上海德昕蔬果种植专业合作社;上海景廊水稻种植专业合作社;上海迈佳蔬菜种植专业合作社;上海金育果蔬种植专业合作社;金开(上海)农业科技有限公司,11.0,金山区,2025年-2026年,,2026-04-28T18:30:08,suspicious_field_names
167,O2813839472026032,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026032&&companyFlag=0,success,RDF;XML;CSV;JSON;XLSX,28.0,12 KB,上海市同凯中学;上海市山阳中学;上海市新农学校(初中部);上海市罗星中学;上海市蒙山中学;上海市金卫中学;上海市金山初级中学;上海市金山区教育学院附属中学;上海市金山区龙泉学校(初中部);上海市金山实验中学;上海师范大学附属金山前京中学,11.0,金山区,2025年-2026年,,2026-04-28T18:30:20,suspicious_field_names
168,O2813839472026033,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026033&&companyFlag=0,success,RDF;CSV;XLSX,26.0,10 KB,上海市民办金盟学校（初中）（直升）;上海市民办金盟学校（初中）（统招）;上海金山区世外学校（初中）（直升）;上海金山区世外学校（初中）（统招）;上海金山杭州湾双语学校（初中）（直升）;上海金山杭州湾双语学校（初中）（统招）,6.0,金山区,2025年-2026年,,2026-04-28T18:30:33,suspicious_field_names
174,O2813838352026058,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026058&&companyFlag=0,success,XML;JSON,23412.0,351 KB,subject_name;unsubmit_student_num,2.0,崇明区,-,,2026-04-28T18:31:56,field_terms_too_few
178,O2813838352026051,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026051&&companyFlag=0,success,XML;JSON,6.0,1 KB,category_name;description,2.0,崇明区,-,,2026-04-28T18:32:46,field_terms_too_few
182,O2813838222026119,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838222026119&&companyFlag=0,success,XML;JSON,31.0,1 KB,activityid;activityname,2.0,宝山区,-,,2026-04-28T18:33:36,field_terms_too_few
229,O2813839692026035,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026035&&companyFlag=0,success,XML;JSON,8.0,1 KB,-;2026-04-25;bm;fwsj;lxdh;mzdz;mzlx;mzmc;qu;sftgsjhpvymjz;xh;卫生和社会工作,12.0,虹口区,-,,2026-04-28T18:43:47,suspicious_field_names
