数据领域,total_count,candidate_count,avg_actual,avg_potential,avg_dormant_score,candidate_rate
民生服务,2049,343,0.43361592291126144,0.5318617244733302,0.09824580156206891,0.16739873108833578
公共安全,557,173,0.44569378741417165,0.5891516316932303,0.1434578442790586,0.3105924596050269
经济建设,1544,156,0.5002115262112705,0.4883172544454807,-0.011894271765789876,0.10103626943005181
城市建设,1370,126,0.5489830818163264,0.5160181062300521,-0.03296497558627425,0.09197080291970802
卫生健康,623,99,0.4650397072759356,0.5203815644384285,0.055341857162492965,0.15890850722311398
文化休闲,515,42,0.4399750983922657,0.456854792334382,0.01687969394211629,0.08155339805825243
教育科技,775,41,0.5482614785645391,0.4635343530294986,-0.08472712553504055,0.05290322580645161
资源环境,538,40,0.6386993213280554,0.5192858236837151,-0.11941349764434027,0.07434944237918216
机构团体,468,39,0.4179239087838125,0.4324415377984935,0.014517629014680908,0.08333333333333333
社会发展,308,15,0.549912143401435,0.4255939049942615,-0.12431823840717367,0.048701298701298704
社保就业,76,13,0.42052550742890266,0.5579670162932228,0.13744150886432016,0.17105263157894737
道路交通,326,13,0.7169368207655947,0.5023616319700139,-0.21457518879558082,0.03987730061349693
气象服务,29,4,0.6030165780319684,0.7267551359030622,0.1237385578710938,0.13793103448275862
农业农村,71,4,0.40662908685939503,0.4479328007040039,0.0413037138446088,0.056338028169014086
绿色低碳,6,1,0.42018637764670025,0.37282035153929477,-0.04736602610740539,0.16666666666666666
工业制造,78,1,0.16849107963334098,0.1219111286728437,-0.04657995096049729,0.01282051282051282
信用服务,207,1,0.6345028102403609,0.4289484359403274,-0.2055543743000336,0.004830917874396135
