数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
O2813841502025060,徐汇区化学原料和化学制品制造业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9931858685396792,0.0205538727823453,0.9726319957573338,1.0
O2813841502026103,徐汇区_安全隐患监管一体机_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9800817695775238,0.0075724794461272,0.9725092901313966,1.0001048327916973
O2813841502025068,徐汇区建筑装饰、装修和其他建筑业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9958066883321104,0.0240155776720034,0.971791110660107,1.0002096655833945
O2813841502026058,徐汇区华泾镇_消火栓按钮传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9717999790334416,0.0022717438338381,0.9695282351996035,1.0003144983750918
O2813841502025071,徐汇区机动车、电子产品和日用产品修理业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.99695984904078,0.0276936391172652,0.9692662099235149,1.000419331166789
O2813841502026052,徐汇区斜土街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9703323199496804,0.0022717438338381,0.9680605761158423,1.0005241639584863
O2813841502026030,徐汇区康健街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9695984904077996,0.0022717438338381,0.9673267465739614,1.0006289967501836
O2813841502026034,徐汇区枫林街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.969283992032708,0.0022717438338381,0.9670122481988699,1.0007338295418808
O2813841502026032,徐汇区华泾镇_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.97452563161757,0.0075724794461272,0.9669531521714428,1.000838662333578
O2813841502026051,徐汇区天平街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9687598280742216,0.0022717438338381,0.9664880842403835,1.0009434951252751
O2813841502025072,徐汇区橡胶和塑料制品业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9902505503721564,0.0240155776720034,0.966234972700153,1.0010483279169724
O2813841502026043,徐汇区华泾镇_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9778802809518816,0.0123323236694071,0.9655479572824746,1.0011531607086697
O2813841502026046,徐汇区斜土街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9719048118251388,0.0075724794461272,0.9643323323790116,1.001257993500367
O2813841502026062,徐汇区华泾镇_感温探测器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9661390082817906,0.0022717438338381,0.9638672644479525,1.0013628262920642
O2813841502025067,徐汇区废弃资源综合利用业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.991403711080826,0.0276936391172652,0.9637100719635608,1.0014676590837615
O2813841502026139,徐汇区_门体状态探测传感器_物联设备信息,民生服务,数据产品,有条件开放,1,54,1.0,0.9798721039941294,0.0163349199480744,0.9635371840460549,1.0015724918754585
O2813841502025070,徐汇区文教、工美、体育和娱乐用品制造业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9949680259985324,0.0323453050627434,0.962622720935789,1.0016773246671558
O2813841502025069,徐汇区房地产业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9897263864136702,0.0276936391172652,0.962032747296405,1.001782157458853
O2813841502026115,徐汇区_室外消火栓末端压力_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.963727854072754,0.0022717438338381,0.9614561102389159,1.0018869902505503
O2813841502026054,徐汇区虹梅街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9686549952825244,0.0075724794461272,0.9610825158363973,1.0019918230422475
O2813841502026035,徐汇区康健街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9729531397421112,0.0123323236694071,0.9606208160727041,1.0020966558339448
O2813841502025061,徐汇区印刷和记录媒介复制业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.992661704581193,0.0323453050627434,0.9603163995184496,1.002201488625642
O2813841502026061,徐汇区龙华街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9678163329489464,0.0075724794461272,0.9602438535028193,1.0023063214173393
O2813841502026053,徐汇区湖南街道_输入输出模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9619456966139008,0.0022717438338381,0.9596739527800627,1.0024111542090366
O2813841502025078,徐汇区装卸搬运和仓储业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9873152322046336,0.0276936391172652,0.9596215930873684,1.0025159870007339
O2813841502026067,徐汇区虹梅街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9669776706153684,0.0075724794461272,0.9594051911692413,1.0026208197924311
O2813841502025092,徐汇区居民服务业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9917182094559178,0.0323453050627434,0.9593729043931745,1.0027256525841284
O2813841502025080,徐汇区资本市场服务单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9868959010378446,0.0276936391172652,0.9592022619205794,1.0028304853758256
