group_col,group_value,rank,feature,feature_label,mean_abs_shap,n
数据资源类型,数据产品,1,publication_age_days_clean,发布年龄,0.1375156044960022,1470
数据资源类型,数据产品,2,数据领域,数据领域,0.13137277960777283,1470
数据资源类型,数据产品,3,数据资源提供部门,提供部门,0.06561162322759628,1470
数据资源类型,数据产品,4,开放条件,开放条件,0.05632222443819046,1470
数据资源类型,数据产品,5,detail_time_scope,详情页时间范围,0.039146870374679565,1470
数据资源类型,数据产品,6,detail_spatial_scope,详情页空间范围,0.03150114044547081,1470
数据资源类型,数据产品,7,is_conditional_open,有条件开放,0.025803469121456146,1470
数据资源类型,数据产品,8,maintenance_span_days_clean,维护跨度,0.01885412447154522,1470
数据资源类型,数据产品,9,is_data_interface,数据接口,0.018530867993831635,1470
数据资源类型,数据产品,10,field_description_count_clean,字段说明丰富度,0.0119373993948102,1470
数据资源类型,数据产品,11,spatial_admin_level,spatial_admin_level,0.011235064826905727,1470
数据资源类型,数据产品,12,更新频率,更新频率,0.010705049149692059,1470
数据资源类型,数据产品,13,update_recency_days_clean,更新近度,0.010456922464072704,1470
数据资源类型,数据产品,14,description_len,description_len,0.008862769231200218,1470
数据资源类型,数据产品,15,format_count_clean,格式数量,0.008236146531999111,1470
数据资源类型,数据接口,1,数据领域,数据领域,0.1510733813047409,1530
数据资源类型,数据接口,2,publication_age_days_clean,发布年龄,0.1166711375117302,1530
数据资源类型,数据接口,3,数据资源提供部门,提供部门,0.07360754162073135,1530
数据资源类型,数据接口,4,开放条件,开放条件,0.06206297129392624,1530
数据资源类型,数据接口,5,detail_time_scope,详情页时间范围,0.03430577367544174,1530
数据资源类型,数据接口,6,detail_spatial_scope,详情页空间范围,0.03027935139834881,1530
数据资源类型,数据接口,7,is_conditional_open,有条件开放,0.026264116168022156,1530
数据资源类型,数据接口,8,field_description_count_clean,字段说明丰富度,0.01859097182750702,1530
数据资源类型,数据接口,9,update_recency_days_clean,更新近度,0.017777007073163986,1530
数据资源类型,数据接口,10,maintenance_span_days_clean,维护跨度,0.016061248257756233,1530
数据资源类型,数据接口,11,is_data_interface,数据接口,0.01346930954605341,1530
数据资源类型,数据接口,12,spatial_admin_level,spatial_admin_level,0.011658942326903343,1530
数据资源类型,数据接口,13,更新频率,更新频率,0.009285054169595242,1530
数据资源类型,数据接口,14,description_len,description_len,0.00797115359455347,1530
数据资源类型,数据接口,15,title_len,title_len,0.007827556692063808,1530
开放属性,无条件开放,1,数据领域,数据领域,0.1357136070728302,1768
开放属性,无条件开放,2,publication_age_days_clean,发布年龄,0.13276728987693787,1768
开放属性,无条件开放,3,数据资源提供部门,提供部门,0.06747445464134216,1768
开放属性,无条件开放,4,开放条件,开放条件,0.058108892291784286,1768
开放属性,无条件开放,5,detail_time_scope,详情页时间范围,0.037451814860105515,1768
开放属性,无条件开放,6,detail_spatial_scope,详情页空间范围,0.0318601094186306,1768
开放属性,无条件开放,7,is_conditional_open,有条件开放,0.025031156837940216,1768
开放属性,无条件开放,8,maintenance_span_days_clean,维护跨度,0.019265923649072647,1768
开放属性,无条件开放,9,is_data_interface,数据接口,0.016525503247976303,1768
开放属性,无条件开放,10,field_description_count_clean,字段说明丰富度,0.014070456847548485,1768
开放属性,无条件开放,11,update_recency_days_clean,更新近度,0.012564020231366158,1768
开放属性,无条件开放,12,spatial_admin_level,spatial_admin_level,0.011278324760496616,1768
开放属性,无条件开放,13,更新频率,更新频率,0.009554168209433556,1768
开放属性,无条件开放,14,description_len,description_len,0.008172044530510902,1768
开放属性,无条件开放,15,title_len,title_len,0.007021317258477211,1768
开放属性,有条件开放,1,数据领域,数据领域,0.1496092826128006,1232
开放属性,有条件开放,2,publication_age_days_clean,发布年龄,0.1184433251619339,1232
开放属性,有条件开放,3,数据资源提供部门,提供部门,0.07286833226680756,1232
开放属性,有条件开放,4,开放条件,开放条件,0.06088757887482643,1232
开放属性,有条件开放,5,detail_time_scope,详情页时间范围,0.03556730970740318,1232
开放属性,有条件开放,6,detail_spatial_scope,详情页空间范围,0.029468677937984467,1232
开放属性,有条件开放,7,is_conditional_open,有条件开放,0.027483852580189705,1232
开放属性,有条件开放,8,field_description_count_clean,字段说明丰富度,0.017139283940196037,1232
开放属性,有条件开放,9,update_recency_days_clean,更新近度,0.01652379147708416,1232
开放属性,有条件开放,10,is_data_interface,数据接口,0.015122834593057632,1232
开放属性,有条件开放,11,maintenance_span_days_clean,维护跨度,0.014794738031923771,1232
开放属性,有条件开放,12,spatial_admin_level,spatial_admin_level,0.011699389666318893,1232
开放属性,有条件开放,13,更新频率,更新频率,0.010593167506158352,1232
开放属性,有条件开放,14,description_len,description_len,0.008746723644435406,1232
开放属性,有条件开放,15,title_len,title_len,0.007850788533687592,1232
