encoded_feature,original_feature,mean_abs_shap,mean_signed_shap,std_shap
num__publication_age_days_clean,publication_age_days_clean,0.1268848,0.011557075,0.13265926
cat__数据领域_气象服务,数据领域,0.055236235,0.055236235,0.013371211
cat__数据资源提供部门_上海市农业农村委员会,数据资源提供部门,0.050954197,-0.050954197,0.008290892
cat__数据领域_道路交通,数据领域,0.0462494,0.0462494,0.014926857
cat__数据资源提供部门_上海市卫生健康委员会,数据资源提供部门,0.04198631,0.04198631,0.002313773
cat__数据资源提供部门_上海市虹口区人民政府,数据资源提供部门,0.026586594,0.026463732,0.016952356
num__is_conditional_open,is_conditional_open,0.02603842,-0.02603842,0.0069746566
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&用于科学研究应用场景,开放条件,0.0258971,-0.0258971,0.0010144525
cat__数据资源提供部门_上海市文化和旅游局,数据资源提供部门,0.023738598,-0.023738598,0.0053701983
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&经业务部门审核同意，且具备基础数据安全保护能力的前提下，可在自身业务范围内，将数据用于科学研究、咨询报告编制、业务运营支撑等场景。使用过程中需规范注明数据来源，并接受定期的数据使用情况核查。,开放条件,0.02310918,-0.02310918,0.0017626181
cat__detail_time_scope_2025年,detail_time_scope,0.02265234,0.02265234,0.003361407
cat__数据资源提供部门_上海市闵行区人民政府,数据资源提供部门,0.022287855,-0.022287855,0.0047207875
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；&&向业务部门申请,开放条件,0.021783343,0.021783343,0.0006719368
cat__detail_time_scope_2026年-2026年,detail_time_scope,0.0213831,-0.0213831,0.0018146996
cat__数据领域_资源环境,数据领域,0.020641426,0.020641426,0.008813162
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.018149285,-0.018149285,0.0019702555
num__maintenance_span_days_clean,maintenance_span_days_clean,0.017429765,0.006690483,0.022666844
cat__数据资源提供部门_上海市科学技术委员会,数据资源提供部门,0.017263805,0.017263805,0.0040661
