detail_url,download_formats,record_count,data_size,field_names,scraped_at,missing_core_fields
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838802026002&&companyFlag=0,XML;JSON,,,enty_type;establish_date_end;establish_date_start;etps_type_gb;fixed_sp;if_limited_annl;in_petrol_blacklist;is_fixed;limited_annl_year;limited_organ_level;plan_id;spot_organ_range;spot_organ_type;spot_scale;任务实施区域是否限制到本级别;任务实施地域;企业类型;参数描述;参数类型;固定抽查规则sp;字元型;字段大小;市场主体类别;抽查机关类型;抽查比例;数位型;是否处在成品油黑名单中;是否自订抽查规则;是否限定年报年度;计划编号;设立日期开始;设立日期截止;限定的年报年度,2026-04-28T17:59:56,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838802026001&&companyFlag=0,XML;JSON,,,content_name;content_values;string,2026-04-28T18:00:06,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O8568744852026007&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,cpmc_zw;frmc_zw;jhpt_update_time;qfrq;qymc_zw;shxydm;sqid;sxrq;update_time;yxqz;zcdz_zw;zsbh;zszt;第二类医疗器材产品注册资讯,2026-04-28T18:00:16,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026110&&companyFlag=0,XML;JSON,,,bmlx;cdfj;createdate;delstatus;dwdm;dwdm2;dwmc;dwmc2;guid;id;nf;qdzt;revstatus;sjpt_frist_rb_time;sjpt_frist_update_time;sjpt_id;sjpt_rb_time;sjpt_sjly;sjpt_task_id;sjpt_update_time;sxbm;sxlb;updatetime;xdr;xwfl;xwsx;xwsxcljg;xxsx;zt,2026-04-28T18:00:26,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026034&&companyFlag=0,RDF;XML;CSV;JSON,,,金山区2025第四季出厂水常规43项水质指标,2026-04-28T18:00:36,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026035&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,单位;指标;检测值,2026-04-28T18:00:46,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O7417764792026001&&companyFlag=0,XML;JSON,,,jgbm;jgmc;rksj;tyshxydm;zt,2026-04-28T18:00:56,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026020&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人经营资讯表,2026-04-28T18:01:06,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026019&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人登记管理资料表,2026-04-28T18:01:16,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026018&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,黄浦区依法人类型统计新注册法人数量,2026-04-28T18:01:26,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026017&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,黄浦区街道注册企业及经营企业数量统计,2026-04-28T18:01:36,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026016&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,黄浦区法人基本资料20260331,2026-04-28T18:01:46,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5115799352026001&&companyFlag=0,XML;JSON,,,add_time;jhpt_delete;qymc;rymc;shxydm;status,2026-04-28T18:01:56,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5115799352026002&&companyFlag=0,XML;JSON,,,add_time;jhpt_delete;qymc;rymc;shxydm;status,2026-04-28T18:02:06,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026101&&companyFlag=0,XML;JSON,,,company_id;company_name;conpany_address;enable;organ_address;organ_code;organ_con_mail;organ_coo;organ_county;organ_county_code;organ_id;organ_name;organ_no;organ_property;organ_type;parent_id;report_address;report_letter;sync_date,2026-04-28T18:02:16,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026100&&companyFlag=0,XML;JSON,,,organ_name;organ_no;remark;service_end_date;service_record_id;service_start_date;sync_date;update_date,2026-04-28T18:02:26,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026088&&companyFlag=0,XML;JSON,,,batch_number;order_id;organ_id;reback_status;remarks;return_time;service_attitude;service_evaluate;service_quality;service_status;sign_in_time;sync_date;参数描述;参数类型;回访方式状态;回访日期;回访时段;字元型;字段大小;工单编码;批号;数位型;时间戳;服务品质;服务完成状态;服务态度;服务评价;站点编码,2026-04-28T18:02:36,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026089&&companyFlag=0,XML;JSON,,,apply_code;apply_id;bank_name;create_time;cus_purpose_time;customer_id;enable;from_flag;last_update_time;lnd_create_date;lnd_end_date;lnd_start_date;organ_id;plan_id;plan_start_date;plan_status;plan_status_reason;project_id;put_status;service_total_num;service_total_time;subsidy_nature;sync_date,2026-04-28T18:02:54,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026090&&companyFlag=0,XML;JSON,,,2026-02-01;J05705710;core_seq_code;create_time;grxz;hlnum;id;insurance_code;insurance_status;jydate;lsh;organ_id;pgdj;sync_date;ybid;zhlx;个人性质;交易日期;凭证编码;创建时间;参数描述;参数类型;字元型;字段大小;护理天数;数位型;时间戳;照顾类别;站点编码;结算号;结算流水号;结算状态;结算编码;长护险的确认单号;需求评估等级,2026-04-28T18:03:04,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026091&&companyFlag=0,XML;JSON,,,confirm_status;creatime;customer_id;enable;end_time;last_cus_distance;organ_id;plan_id;road_time;scheduling_id;service_post_id;start_time;sync_date;trip_mode;week;worker_id;出行方式;创建时间;参数描述;参数类型;字元型;字段大小;客户编码;开始时间;排班编码;接单确认状态;数位型;时间戳;星期;有效标志;服务人员编码;服务职位编码;离家距离;站点编码;结束时间;计划编码;路途花费时间,2026-04-28T18:03:14,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026092&&companyFlag=0,XML;JSON,,,c_code;c_costatus;c_date;c_length_of_time;c_status;c_type;co_id;core_seq_code;enable;grzfbl;grzfje;grzfzt;insurance_record_id;last_oper_time;order_id;organ_id;pay_time;plan_service_time;sync_date;time_chage;ybzfbl;ybzfzt;个人支付比例;个人支付状态;个人支付金额;健保支付比例;健保支付状态;参数描述;参数类型;字元型;字段大小;序列编码;拆单来源工单编码;数位型;时间变化;时间戳;最后修改时间;有效状态;状态;确认单号;确认单时长;确认日期;确认状态;站点编码;结算时间;结算流水号;结算记录编码;职位编码;规划服务时间,2026-04-28T18:03:24,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026093&&companyFlag=0,XML;JSON,,,enable;lang_porject_code;organ_id;post_id;service_class_id;service_project_code;service_project_name;service_time_range;sync_date,2026-04-28T18:03:34,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026094&&companyFlag=0,XML;JSON,,,backup_status;c_steet_id;creat_time;customer_id;id;order_date;order_id;order_time;organ_id;record_time;service_length;status;sync_date;worker_id;主键编码;创建时间;参数描述;参数类型;员工编码;备份状态;字元型;字段大小;客户资讯编码;工单日期;工单时间;工单编码;录音时长;数位型;文件状态;时间戳;服务时长;站点编码;街道编码,2026-04-28T18:03:44,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026096&&companyFlag=0,XML;JSON,,,age;apply_code;apply_id;apply_time;customer_id;level_of_care;lnd_end_date;lnd_status;sex;status;street_id;sync_date;参数描述;参数类型;字元型;字段大小;客户编码;年龄;待遇结束时间;性别;护理等级;数位型;时间戳;状态;申请时间;申请编号;申请记录编码;街道;长护险状态,2026-04-28T18:03:54,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026097&&companyFlag=0,XML;JSON,,,address_flag;c_age;c_cur_apply_number;c_cur_care_level;c_memo;c_per_proper;c_property;c_sex;c_steet_id;c_type;create_time;customer_id;enable;last_update_time;lnd_end_date;order_state;organ_id;positioning_state;status;status_reason;sync_date;worker_id;个人性质;参数描述;参数类型;员工编码;地址是否修改;字元型;字段大小;客户状况描述;客户编码;年龄;建档时间;当前护理等级;待遇结束时间;性别;所属街道;数位型;时间戳;最后修改时间;有效状态;状态;状态原因;目前申请编号;站点编码;老人性质;老人类型;重置定位状态;重置工单状态,2026-04-28T18:04:05,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026098&&companyFlag=0,XML;JSON,,,enable;organ_id;post_id;post_memo;post_name;sync_date,2026-04-28T18:04:15,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026099&&companyFlag=0,XML;JSON,,,check_distance;enable;entry_date;group_id;last_update_time;leave_date;online_state;organ_id;post_id;street_id;sync_date;w_leave_reason;w_leave_status;w_number;w_role;w_sex;worker_id;入职日期建立日期;参数描述;参数类型;员工性别;员工编号;员工编码;员工角色;在线状态;字元型;字段大小;所属分组;所属街道;数位型;时间戳;最后修改时间;有效标志;离职原因;离职日期;离职状态;站点编码;职位编码;距离验证,2026-04-28T18:04:25,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026003&&companyFlag=0,RDF;XML;CSV;JSON,,,年度分类型规模以上服务业企业主要指标,2026-04-28T18:04:35,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026001&&companyFlag=0,RDF;XML;CSV;JSON,,,近几年限额以上批发零售业主要财务指标,2026-04-28T18:04:45,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O4468094442026002&&companyFlag=0,RDF;XML;CSV;JSON,,,近几年限额以上住宿餐饮业主要财务指标,2026-04-28T18:04:55,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026079&&companyFlag=0,XML;JSON,,,batchno;bxbz;cfh;filename;fylb;ghlsh;id;jslx;jyrq;ksdm;ksmc;lsh;mxdj;mxdm;mxdw;mxmc;mxsl;mxxmgg;sync_date;ysdm;ysflsh;yyid;yymc;zdbm1;zdbm2;zdbm3;zfpb,2026-04-28T18:05:05,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026080&&companyFlag=0,XML;JSON,,,addeddt;devicecode;devicename;deviceno;id;itemcode;itemname;modifydt;orgcode;sync_date,2026-04-28T18:05:15,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026081&&companyFlag=0,XML;JSON,,,addeddt;id;itencode;itenname;modifydt;orderno;orgcode;sync_date,2026-04-28T18:05:25,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026082&&companyFlag=0,XML;JSON,,,HYQY2033;addeddt;devicecode;deviceimage;deviceno;id;modifydt;orgcode;status;sync_date;usecount;中医定向3;使用状态;修改时间;参数描述;参数类型;字元型;字段大小;数位型;新增时间;时间戳;最大使用人数;机构编码;设备图片;设备序号;设备编码,2026-04-28T18:05:36,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026083&&companyFlag=0,XML;JSON,,,addeddt;batchno;caredate;enddate;exdes;extype;extypedetail;id;itemcode;itemname;modifydt;orgcode;settlementdate;startdate;sync_date;therapistcode,2026-04-28T18:05:46,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026084&&companyFlag=0,XML;JSON,,,addeddt;dealcode;extypedetail;id;itemcode;itemname;modifydt;patientname;settlementdate;sptexid;sync_date,2026-04-28T18:05:56,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026085&&companyFlag=0,XML;JSON,,,batchno;bxbz;cyrq;filename;fylb;id;jslx;jyrq;jzrq;ksdm;ksmc;lsh;mxdj;mxdm;mxdw;mxmc;mxsl;mxxmgg;mxybje;ryrq;sync_date;ysflsh;yyid;yymc;zdbm1;zdbm2;zdbm3;zfpb;zhbz;zyh,2026-04-28T18:06:06,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026086&&companyFlag=0,XML;JSON,,,add_duration;c_post_id;dis_case;enable;fact_service_time;last_oper_time;length_of_service;order_date;order_id;order_month;order_no;order_status;order_type;order_year;organ_id;plan_cate_id;plan_id;plan_service_time;put_status;return_status;sdk_service_code;service_memo;service_post_id;sign_in_coo;sign_in_time;sign_in_user_time;sign_out_coo;sign_out_time;sign_out_user_time;sync_date;worker_id;上报状态;医监所服务记录号;参数描述;参数类型;员工编码;回访状态;字元型;字段大小;实际服务时长;工单状态;工单类型;工单编号;工单编码;年;年月;年月日;数位型;时间戳;最后操作时间;有效状态;服务备注;服务职位编码;服务计划类别编码;服务计划编码;病情观察;站点编码;签下用户本地时间;签到位置资讯;签到时间;签到用户本地时间;签约时间;签退位置讯息;职位编码;补贴时长;规划服务时间;计划服务时长,2026-04-28T18:06:24,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026087&&companyFlag=0,XML;JSON,,,order_id;project_id;service_order_detail_id;service_time;sync_date;专案编码;参数描述;参数类型;字元型;字段大小;工单编码;工单详情编码;数位型;时间戳;服务时长,2026-04-28T18:06:34,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026072&&companyFlag=0,XML;JSON,,,asassign_num;city_name;district_name;interact_num;province_name;stu_interact_num;subject_name,2026-04-28T18:06:44,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026073&&companyFlag=0,XML;JSON,,,city_name;district_name;hm_topic_num;province_name;subject_name,2026-04-28T18:06:54,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026074&&companyFlag=0,XML;JSON,,,addeddt;caretype;catagory;code;id;itemcontent;maxtime;mintime;modifydt;name;orgcoed;status;sync_date;unit,2026-04-28T18:07:04,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026075&&companyFlag=0,XML;JSON,,,addeddt;batchno;filename;id;importtime;modifydt;orgcode;orgname;sync_date;type,2026-04-28T18:07:15,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026076&&companyFlag=0,XML;JSON,,,addeddt;code;id;modifydt;onjob;orgcode;sync_date;修改时间;参数描述;参数类型;在职状态;字元型;字段大小;数位型;新增时间;时间戳;机构编码;编码,2026-04-28T18:07:25,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026077&&companyFlag=0,XML;JSON,,,addeddt;bedid;caredate;devicecode;devicename;deviceno;diagnosecode;endtime;isvalid;itemcode;itemname;minites;modifydt;orderid;orderstatus;orgcode;orgname;starttime;sync_date;therapistcode,2026-04-28T18:07:35,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813838352026078&&companyFlag=0,XML;JSON,,,addeddt;catagory;code;id;isdel;modifydt;name;orgcoed;quotetime;sync_date,2026-04-28T18:07:45,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026117&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_通风空调_物联设备讯息,2026-04-28T18:07:55,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026118&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_动力电源_物联设备讯息,2026-04-28T18:08:05,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026119&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_火灾显示盘感测器_物联设备讯息,2026-04-28T18:08:16,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026121&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_井盖监控感测器_物联设备讯息,2026-04-28T18:08:26,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026120&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_冲击震动监测感测器_物联设备讯息,2026-04-28T18:08:36,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026122&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_楼层显示器_物联设备讯息,2026-04-28T18:08:46,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026123&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_气体侦测感测器_物联设备讯息,2026-04-28T18:08:56,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026124&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_控制模组(紧急照明强启)_物联设备讯息,2026-04-28T18:09:06,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026125&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_人体活动侦测感测器_物联设备讯息,2026-04-28T18:09:17,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026128&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_电气火灾监控警报器_物联设备讯息,2026-04-28T18:09:59,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026131&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,,,徐汇区_水压监测感测器_物联设备讯息,2026-04-28T18:10:34,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813840292026056&&companyFlag=0,XML;JSON,,,attr;camera_id;create_time;del_flag;event;finish_status;report_id;trigger_time;update_time;参数描述;参数类型;字元型;字段大小;数位型;注完成状态0未结案1已结案;注解更新时间;注释上报id;注释事件;注释创建时间;注释属性;注释相机ID;注释触发时间;逻辑删除标识0未删除空白已删除,2026-04-28T19:02:12,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813840292026055&&companyFlag=0,XML;JSON,,,attr;camera_id;create_time;del_flag;event;finish_status;id;img;report_id;trigger_time;update_time;参数描述;参数类型;字元型;字段大小;数位型;注完成状态0未结案1已结案;注解图片路径;注解更新时间;注释id唯一标识;注释上报id;注释事件;注释创建时间;注释属性;注释相机ID;注释触发时间;逻辑删除标识0未删除空白已删除,2026-04-28T19:02:23,record_count;data_size
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026025&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,42.0,12 KB,,2026-04-28T19:43:36,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=13207&&companyFlag=0,XML;JSON,24.0,1 KB,,2026-04-28T19:54:50,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=13209&&companyFlag=0,XML;JSON,2.0,1 KB,,2026-04-28T19:55:04,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=13208&&companyFlag=0,XML;JSON,1.0,1 KB,,2026-04-28T19:55:17,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O0024201212025001&&companyFlag=0,XML;JSON,2.0,1 KB,,2026-04-28T19:55:31,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026009&&companyFlag=0,XML;JSON,82.0,1 KB,,2026-04-28T20:00:51,field_names
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026003&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,29.0,9 KB,,2026-04-28T20:01:05,field_names
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026002&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,51.0,18 KB,,2026-04-28T20:01:18,field_names
https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026001&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,49.0,15 KB,,2026-04-28T20:01:32,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026008&&companyFlag=0,XML;JSON,8.0,1 KB,,2026-04-28T20:02:13,field_names
https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692026007&&companyFlag=0,XML;JSON,17.0,1 KB,,2026-04-28T20:02:26,field_names
