数据集ID,detail_url,download_formats,record_count,data_size,field_names,detail_spatial_scope,detail_time_scope,scrape_error,scraped_at
2c90e4f36343477901636340b96f013e,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2c90e4f36343477901636340b96f013e&&companyFlag=0,,83,2 KB,,本市,2018年-2020年,,2026-05-01T17:53:50
AC5002018005,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002018005&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,143,127 KB,,本市,2018年-2024年,,2026-05-01T17:54:45
AA9002017008,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AA9002017008&&companyFlag=0,,-,-,主管部门;事项名称;办理依据;办理程序;收费标准;条线;申办条件;申办表格;申请材料,本市,2017年-2025年,,2026-05-01T18:03:36
AH0002017004,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH0002017004&&companyFlag=0,,94,39 KB,产品品牌;生产企业;编号,本市,2018年-2018年,,2026-05-01T18:08:39
AC5002017020,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002017020&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,325,123 KB,,本市,2017年-2024年,,2026-05-01T18:12:37
AC5002017007,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002017007&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,350,127 KB,,本市,2017年-2024年,,2026-05-01T18:14:41
AC5002017004,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002017004&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,105,108 KB,,本市,2017年-2024年,,2026-05-01T18:17:59
AH1002015027,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015027&&companyFlag=0,,30,24 KB,企业名称;企业地址;企业电话;许可证号(备案证号),本市,2018年-2018年,,2026-05-01T18:24:58
AH1002015014,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015014&&companyFlag=0,,297,62 KB,企业名称;地址;许可证号,本市,2018年-2018年,,2026-05-01T18:43:02
AH1002015013,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH1002015013&&companyFlag=0,,32234,5 MB,业户名称;注册地址;许可证号,本市,2018年-2018年,,2026-05-01T18:43:31
AC4002015011,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC4002015011&&companyFlag=0,,87,40 KB,单位名称;地址邮编;联系人;联系电话;证书等级;证书编号;评价范围,本市,2015年-2024年,,2026-05-01T18:47:32
AC5002015052,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015052&&companyFlag=0,RDF;XML;CSV;JSON,86,44 KB,,本市,1978年-2017年,,2026-05-01T18:54:50
AC5002015021,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015021&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,545,181 KB,,本市,2015年-2024年,,2026-05-01T18:55:36
AC5002015032,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015032&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,176,40 KB,,本市,1978年-2017年,,2026-05-01T18:56:51
AC5002015055,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015055&&companyFlag=0,RDF;XML;CSV;JSON,38,129 KB,,本市,2020年-2024年,,2026-05-01T18:57:37
AC5002015051,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015051&&companyFlag=0,RDF;XML;CSV;JSON,85,56 KB,,本市,1978年-2017年,,2026-05-01T18:58:57
AC5002015039,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015039&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,405,165 KB,,本市,1978年-2022年,,2026-05-01T18:59:27
AC5002015026,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015026&&companyFlag=0,,46,26 KB,年份,本市,2017年,,2026-05-01T19:00:05
AC5002015033,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015033&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,80,32 KB,,本市,2014年,,2026-05-01T19:00:35
AC5002015023,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015023&&companyFlag=0,,43,24 KB,外商、港澳台经济;股份制经济,本市,2017年,,2026-05-01T19:01:21
AC5002015045,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002015045&&companyFlag=0,RDF;XML;CSV;JSON,416,202 KB,,本市,2019年-2024年,,2026-05-01T19:02:27
AG8002014018,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014018&&companyFlag=0,,55,146 KB,产业类型;月份;用电量,本市,2013年-2018年,,2026-05-01T19:11:03
AG8002014016,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AG8002014016&&companyFlag=0,,88,36 KB,供电公司;地址;服务内容;服务范围;网点名称;联系电话;营业时间,本市,2017年-2017年,,2026-05-01T19:11:42
