数据集ID,detail_url,download_formats,record_count,data_size,field_names,detail_spatial_scope,detail_time_scope,scrape_error,scraped_at
6028,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=6028&&companyFlag=0,,61,52 KB,学校名称;学校地址;学生宿舍寄宿条件（生均面积M2）;所属乡镇、街道、工业区;教学用房教室数（间）;校舍占地面积（亩）;校舍建筑面积（M2）;活动场地（亩）;目前在校学生人数（人）,金山区,2020年,,2026-05-01T14:43:32
5677,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=5677&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,101,16 KB,,浦东新区,2019年,,2026-05-01T14:50:21
2922,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2922&&companyFlag=0,,-,-,91310112MACJDH8P9R;change_afnote;change_benote;change_date;change_item;corp_info_ext_id;id;unisc_id;validity;经营范围变更,本市,2020年-2025年,,2026-05-01T15:01:55
2438,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2438&&companyFlag=0,,290,15 KB,,本市,2020年-2025年,,2026-05-01T15:12:29
2409,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2409&&companyFlag=0,,30124,1 MB,,本市,2020年-2025年,,2026-05-01T15:14:20
2399,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2399&&companyFlag=0,,5342,240 KB,,本市,2020年-2025年,,2026-05-01T15:14:46
AD4002012009,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AD4002012009&&companyFlag=0,,1081,216 KB,发证单位;发证日期;姓名;证书名称;证书编号,本市,2015年,,2026-05-01T15:50:36
AD4002015007,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AD4002015007&&companyFlag=0,,1082,124 KB,姓名;执业单位;注册号,本市,2018年-2018年,,2026-05-01T15:51:05
1847,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1847&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,44,12 KB,,徐汇区,2020年-2025年,,2026-05-01T15:54:22
1845,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1845&&companyFlag=0,XLSX,104,37 KB,,徐汇区,2020年-2025年,,2026-05-01T15:55:00
1844,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1844&&companyFlag=0,RDF;XML;CSV;JSON,106,65 KB,,徐汇区,2020年-2025年,,2026-05-01T15:55:30
1843,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1843&&companyFlag=0,,72,83 KB,,徐汇区,2020年-2025年,,2026-05-01T15:55:59
1842,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1842&&companyFlag=0,RDF;XML;CSV;JSON,74,163 KB,,徐汇区,2020年-2025年,,2026-05-01T15:56:29
1840,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1840&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,12,21 KB,,徐汇区,2020年-2025年,,2026-05-01T15:57:07
1839,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1839&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,12,22 KB,,徐汇区,2020年-2025年,,2026-05-01T15:57:37
1253,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1253&&companyFlag=0,,5394,586 KB,内水位;外水位;数据日志时间;水闸名称;水闸编号,崇明区,2020年-2025年,,2026-05-01T15:58:06
1000,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=1000&&companyFlag=0,,724470,42 MB,endtime;newscontent;newslinkurl;newsname;newssendtime;newstype;relatcolumn;subtitle,杨浦区,2019年-2025年,,2026-05-01T15:59:35
1815,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1815&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,14,20 KB,,徐汇区,2019年-2025年,,2026-05-01T16:03:27
1001,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1001&&companyFlag=0,,717,132 KB,主体简称;农场名称;经营者姓名;联系电话;详细地址,崇明区,2020年-2020年,,2026-05-01T16:06:55
1765,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1765&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,26,12 KB,,徐汇区,2019年-2025年,,2026-05-01T16:09:13
1762,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1762&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,20,10 KB,,徐汇区,2019年-2025年,,2026-05-01T16:10:02
1759,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1759&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,366,29 KB,,徐汇区,2019年-2025年,,2026-05-01T16:10:40
1386,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1386&&companyFlag=0,,178,55 KB,抽查检查内容;抽查检查发现问题;抽查检查日期;抽查检查结果名称;数据来源单位名称;监管主体名称;统一社会信用代码;营业执照注册号,崇明区,2018年-2019年,,2026-05-01T16:43:01
1368,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=1368&&companyFlag=0,,-,-,地址;所属街道高校;机构名称;联系人;联系电话,徐汇区,2019年-2025年,,2026-05-01T16:44:49
2c90e4f36343477901636340b96f013e,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=2c90e4f36343477901636340b96f013e&&companyFlag=0,,83,2 KB,,本市,2018年-2020年,,2026-05-01T17:53:50
AC5002018005,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AC5002018005&&companyFlag=0,RDF;XML;CSV;JSON;XLSX,143,127 KB,,本市,2018年-2024年,,2026-05-01T17:54:45
AA9002017008,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AA9002017008&&companyFlag=0,,-,-,主管部门;事项名称;办理依据;办理程序;收费标准;条线;申办条件;申办表格;申请材料,本市,2017年-2025年,,2026-05-01T18:03:36
AH0002017004,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=AH0002017004&&companyFlag=0,,94,39 KB,产品品牌;生产企业;编号,本市,2018年-2018年,,2026-05-01T18:08:39
